workerid,proliferate.condition,error
463,condition1,
382,condition1,
340,condition1,
442,condition1,
321,condition1,
372,condition1,
401,condition1,
441,condition1,
412,condition1,
445,condition1,
300,condition1,
389,condition1,
381,condition1,
446,condition1,
436,condition1,
296,condition1,
357,condition1,
360,condition1,
298,condition1,
363,condition1,
394,condition1,
409,condition1,
309,condition1,
373,condition1,
404,condition1,
375,condition1,
333,condition1,
337,condition1,
386,condition1,
407,condition1,
422,condition1,
402,condition1,
308,condition1,
303,condition1,
323,condition1,
379,condition1,
435,condition1,
295,condition1,
378,condition1,
348,condition1,
335,condition1,
352,condition1,
413,condition1,
294,condition1,
302,condition1,
460,condition1,
369,condition1,
433,condition1,
455,condition1,
354,condition1,
380,condition1,
432,condition1,
429,condition1,
408,condition1,
326,condition1,
410,condition1,
414,condition1,
297,condition1,
400,condition1,
346,condition1,
423,condition1,
461,condition1,
462,condition1,
310,condition1,
