workerid,proliferate.condition,time_in_minutes,error
158,condition1,20.39855,
156,condition1,8.7709,
221,condition1,31.024583333333332,
163,condition1,16.90138333333333,
239,condition1,26.9939,
289,condition1,6.5674166666666665,
253,condition1,10.512516666666668,
230,condition1,47.79465,
272,condition1,33.16235,
275,condition1,13.97075,
247,condition1,14.535866666666667,
285,condition1,32.80426666666666,
283,condition1,12.3554,
248,condition1,14.088616666666669,
290,condition1,16.821416666666668,
172,condition1,13.681966666666666,
236,condition1,35.019133333333336,
167,condition1,16.8879,
194,condition1,10.148083333333334,
241,condition1,17.044966666666667,
266,condition1,12.511033333333334,
174,condition1,12.743066666666667,
240,condition1,26.47746666666667,
222,condition1,16.067116666666667,
198,condition1,9.1351,
274,condition1,11.341483333333333,
180,condition1,13.278866666666667,
168,condition1,14.118716666666666,
152,condition1,25.40205,
214,condition1,5.020716666666667,
159,condition1,12.2027,
233,condition1,19.134983333333334,
166,condition1,13.485083333333334,
182,condition1,17.219566666666665,
217,condition1,18.040766666666663,
269,condition1,9.135816666666669,
191,condition1,17.033383333333333,
268,condition1,7.6491,
218,condition1,6.938916666666667,
169,condition1,16.524383333333333,
280,condition1,13.291283333333332,
190,condition1,11.52175,
219,condition1,11.4009,
202,condition1,23.625316666666667,
189,condition1,14.82915,
179,condition1,8.60045,
206,condition1,7.844216666666667,
262,condition1,8.607183333333333,
249,condition1,9.7693,
232,condition1,8.244916666666667,
261,condition1,28.703983333333333,
162,condition1,30.097033333333332,
252,condition1,15.21145,
176,condition1,8.109416666666666,
243,condition1,7.435,
237,condition1,13.095166666666668,
208,condition1,14.3182,
173,condition1,19.579816666666662,
281,condition1,31.87761666666667,
271,condition1,14.685983333333333,
258,condition1,22.8623,
231,condition1,12.190983333333334,
154,condition1,11.403783333333331,
