,workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,schoolLanguage,subject_information.comments,country,subject_information.dialectOne,subject_information.dialectTwo,subject_information.education,subject_information.enjoyment,subject_information.fairprice,firstLanguage,subject_information.gender,subject_information.liveInYugo,otherLanguage,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,status
0,139,condition1,purple_drum,boban,6641,2,drum,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
1,139,condition1,orange_binoculars,dvogled,21998,3,binoculars,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
2,139,condition1,white_bracelet,narukvica,13342,4,bracelet,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
3,139,condition1,white_shirt,majica,9647,5,shirt,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
4,139,condition1,green_lipstick,šminka,12960,6,lipstick,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
5,139,condition1,white_rug,tepih,17845,7,rug,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
6,139,condition1,blue_cap,kapa,8423,8,cap,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
7,139,condition1,white_yarn,prede,18895,9,yarn,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
8,139,condition1,black_vase,vaza,10982,10,vase,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
9,139,condition1,green_tent,šator,8254,11,tent,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
10,139,condition1,black_fish,riba,7409,12,fish,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
11,139,condition1,white_wallet,novačnik,10197,13,wallet,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
12,139,condition1,white_napkin,maramicu,12353,14,napkin,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
13,139,condition1,green_duck,patka,9696,15,duck,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
14,139,condition1,green_slipper,papuče,10541,16,slipper,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
15,139,condition1,blue_shoe,cipela,8682,17,shoe,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
16,139,condition1,black_tie,kravata,8891,18,tie,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
17,139,condition1,purple_luggage,kofer,7279,19,luggage,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
18,139,condition1,black_truck,"
kamion",9028,20,truck,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
19,139,condition1,red_mug,"
šalica",103051,21,mug,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
20,139,condition1,red_phone,"
telefon",4398,22,phone,[],21,Yes,slovenski,,SI,ekavica,kajkavski,2,2,DA,slovenski i hrvatski,Female,preAge8,"engleski, njemački, hrvatski",Ne,Chrome,Windows,768,1366,18.4225,,simk
