workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.bcsPrimaryLanguageSchool,subject_information.comments,subject_information.country,subject_information.dialectOne,subject_information.dialectTwo,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.firstLanguage,subject_information.gender,subject_information.liveInYugo,subject_information.otherLanguage,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
405,condition1,blue_ruler,Plav,9142,2,ruler,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,red_pencil,Crveni,11374,3,pencil,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,white_balloon,Bijeli,7704,4,balloon,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,green_glove,Zelena,12768,5,glove,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,orange_radio,Pomaranžast,20286,6,radio,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,orange_die,Pomaranžast,9235,7,die,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,white_bucket,Bijela,7086,8,bucket,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,blue_table,Plava,4326,9,table,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,red_mask,Crvena,43188,10,mask,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,black_sock,Crna,30368,11,sock,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,purple_bench,Ljubicasta,8938,12,bench,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,orange_whistle,Pomaranžasta,66540,13,whistle,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,red_coathanger,Crvena,4436,14,coathanger,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,yellow_scarf,Zuta,4758,15,scarf,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,black_duck,Crna,4806,16,duck,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,black_umbrella,Crna,3538,17,umbrella,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,green_plate,Zelena,3234,18,plate,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,red_shirt,Crvena,3344,19,shirt,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
405,condition1,purple_tv,Ljubicasta,12352,20,tv,[],35,Yes,Makedonski,,MK,other,other,3,1,Da,Makedonski,Male,preAndPostAge8,"Engleski, Svedski, Srpski, Hrvatski",Ne,Chrome,Windows,1440,2560,12.903333333333334,
