workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.bcsPrimaryLanguageSchool,subject_information.comments,subject_information.country,subject_information.dialectOne,subject_information.dialectTwo,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.firstLanguage,subject_information.gender,subject_information.liveInYugo,subject_information.otherLanguage,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
146,condition1,red_magnifyingglass,crvena,8882,2,magnifyingglass,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,blue_scarf,"
plava",1843,3,scarf,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,orange_hammer,"
narandasta",6083,4,hammer,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,orange_sponge,"
narandzasta",5202,5,sponge,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,black_tie,"
crna",2666,6,tie,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,green_remote,"
zelena",2746,7,remote,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,black_fish,"
crna",2257,8,fish,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,orange_basket,"
narandasta",5359,9,basket,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,white_table,"
bela",1899,10,table,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,red_lamp,"
crvena",2020,11,lamp,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,orange_slipper,"
narandasta",3369,12,slipper,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,blue_cap,"
plava",1925,13,cap,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,black_die,"
crna",1658,14,die,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,yellow_notebook,"
zuta",2494,15,notebook,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,green_shield,"
zelena",2016,16,shield,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,purple_umbrella,"
ljubicasta",3714,17,umbrella,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,orange_lock,"
narandasta",3501,18,lock,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,yellow_present,"
zuta",2001,19,present,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,purple_drum,"
ljubicasta",3754,20,drum,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,black_screwdriver,"
crna",1762,21,screwdriver,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,red_armchair,"
crvena",2584,22,armchair,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
146,condition1,purple_rope,"
ljubicasta",7359,23,rope,[],22,Yes,engleski,,SRB,ekavica,štokavski,3,2,da,grcki,Female,preAndPostAge8,srpski,ne,Chrome,Mac,900,1440,5.40635,
