workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.bcsPrimaryLanguageSchool,subject_information.comments,subject_information.country,subject_information.dialectOne,subject_information.dialectTwo,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.firstLanguage,subject_information.gender,subject_information.liveInYugo,subject_information.otherLanguage,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
158,condition1,red_balloon,balon,6403,2,balloon,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,blue_bed,krevet,5472,3,bed,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,blue_notebook,sveska,8285,4,notebook,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,black_tent,sator,8458,5,tent,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,black_basket,korpa,5552,6,basket,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_razor,brijac,11725,7,razor,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_umbrella,kisobran,6742,8,umbrella,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_luggage,torba,5795,9,luggage,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,black_vase,vazna,4917,10,vase,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,purple_purse,tasna,4528,11,purse,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,white_key,kljuc,5341,12,key,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,blue_rug,tepih,5844,13,rug,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_drum,dobos,45646,14,drum,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,orange_fork,viljuska,6253,15,fork,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,orange_sock,carapa,5471,16,sock,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,red_table,klupa,13140,17,table,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,yellow_binder,fascikla,8108,18,binder,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,yellow_butterfly,leptir,4972,19,butterfly,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
158,condition1,green_shield,stit,100314,20,shield,[],39,Yes,Svedski,,BIH,ijekavica,štokavski,3,1,Da,Srpskohrvatski i Svedski,Male,preAge8,Engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,
