workerid,proliferate.condition,error
405,condition1,
307,condition1,
439,condition1,
451,condition1,
385,condition1,
458,condition1,
420,condition1,
397,condition1,
328,condition1,
315,condition1,
453,condition1,
377,condition1,
314,condition1,
376,condition1,
361,condition1,
428,condition1,
316,condition1,
393,condition1,
312,condition1,
415,condition1,
416,condition1,
347,condition1,
351,condition1,
322,condition1,
427,condition1,
319,condition1,
349,condition1,
366,condition1,
447,condition1,
365,condition1,
336,condition1,
434,condition1,
317,condition1,
330,condition1,
399,condition1,
438,condition1,
430,condition1,
418,condition1,
387,condition1,
440,condition1,
364,condition1,
398,condition1,
419,condition1,
417,condition1,
350,condition1,
395,condition1,
367,condition1,
390,condition1,
371,condition1,
411,condition1,
406,condition1,
358,condition1,
320,condition1,
459,condition1,
359,condition1,
334,condition1,
370,condition1,
368,condition1,
355,condition1,
345,condition1,
444,condition1,
331,condition1,
396,condition1,
449,condition1,
332,condition1,
341,condition1,
388,condition1,
329,condition1,
383,condition1,
437,condition1,
325,condition1,
342,condition1,
403,condition1,
425,condition1,
431,condition1,
424,condition1,
339,condition1,
338,condition1,
353,condition1,
305,condition1,
324,condition1,
450,condition1,
