workerid,proliferate.condition,time_in_minutes,error
405,condition1,12.903333333333334,
307,condition1,6.9716,
439,condition1,13.268733333333332,
451,condition1,11.60195,
385,condition1,6.8971,
458,condition1,6.126433333333333,
420,condition1,14.076166666666667,
397,condition1,14.93565,
328,condition1,6.961883333333334,
315,condition1,14.089566666666666,
453,condition1,7.4569,
377,condition1,9.771533333333334,
314,condition1,7.732883333333334,
376,condition1,6.662466666666667,
361,condition1,4.793666666666667,
428,condition1,28.331633333333333,
316,condition1,11.480616666666666,
393,condition1,19.759783333333335,
312,condition1,6.838933333333333,
415,condition1,14.985016666666668,
416,condition1,10.954783333333332,
347,condition1,6.79395,
351,condition1,10.032666666666668,
322,condition1,24.521533333333338,
427,condition1,13.943716666666669,
319,condition1,11.0779,
349,condition1,16.42275,
366,condition1,8.01925,
447,condition1,12.7409,
365,condition1,22.1439,
336,condition1,9.207166666666666,
434,condition1,11.085816666666666,
317,condition1,9.003083333333333,
330,condition1,11.9776,
399,condition1,7.5607,
438,condition1,10.7471,
430,condition1,16.44535,
418,condition1,12.057933333333333,
387,condition1,6.915816666666666,
440,condition1,22.567116666666667,
364,condition1,12.044516666666668,
398,condition1,8.505133333333333,
419,condition1,9.977766666666666,
417,condition1,6.3738,
350,condition1,17.172266666666665,
395,condition1,9.76845,
367,condition1,11.8987,
390,condition1,11.120016666666666,
371,condition1,8.53545,
411,condition1,8.141016666666667,
406,condition1,9.1264,
358,condition1,11.950533333333333,
320,condition1,9.940466666666667,
459,condition1,8.188183333333333,
359,condition1,7.3807,
334,condition1,8.426933333333332,
370,condition1,13.22375,
368,condition1,19.40505,
355,condition1,20.434283333333333,
345,condition1,10.484333333333334,
444,condition1,13.6589,
331,condition1,6.060616666666666,
396,condition1,27.005716666666668,
449,condition1,14.03115,
332,condition1,15.911783333333334,
341,condition1,7.6293,
388,condition1,22.6764,
329,condition1,9.7036,
383,condition1,7.71085,
437,condition1,10.074583333333331,
325,condition1,20.294133333333335,
342,condition1,11.957266666666667,
403,condition1,9.567883333333333,
425,condition1,7.827066666666667,
431,condition1,8.8908,
424,condition1,15.804316666666669,
339,condition1,23.659266666666667,
338,condition1,10.198216666666667,
353,condition1,7.978833333333333,
305,condition1,8.358833333333333,
324,condition1,13.987283333333334,
450,condition1,24.169733333333333,
