workerid,proliferate.condition,error
225,condition1,
282,condition1,
226,condition1,
263,condition1,
165,condition1,
246,condition1,
245,condition1,
284,condition1,
267,condition1,
203,condition1,
204,condition1,
197,condition1,
220,condition1,
184,condition1,
288,condition1,
192,condition1,
151,condition1,
178,condition1,
186,condition1,
155,condition1,
251,condition1,
164,condition1,
228,condition1,
157,condition1,
161,condition1,
276,condition1,
207,condition1,
211,condition1,
187,condition1,
286,condition1,
153,condition1,
273,condition1,
278,condition1,
212,condition1,
238,condition1,
181,condition1,
188,condition1,
193,condition1,
227,condition1,
234,condition1,
255,condition1,
287,condition1,
183,condition1,
279,condition1,
216,condition1,
160,condition1,
210,condition1,
270,condition1,
215,condition1,
244,condition1,
185,condition1,
254,condition1,
224,condition1,
250,condition1,
177,condition1,
205,condition1,
256,condition1,
235,condition1,
223,condition1,
265,condition1,
242,condition1,
171,condition1,
201,condition1,
196,condition1,
175,condition1,
