,workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,schoolLanguage,subject_information.comments,country,subject_information.dialectOne,subject_information.dialectTwo,subject_information.education,subject_information.enjoyment,subject_information.fairprice,firstLanguage,subject_information.gender,subject_information.liveInYugo,otherLanguage,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,status
0,225,condition1,orange_piano,smede,6013,2,piano,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
1,225,condition1,black_box,"
crne",2022,3,box,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
2,225,condition1,orange_spoon,"
zlatne",2803,4,spoon,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
3,225,condition1,purple_sponge,"
ljubicasta",3922,5,sponge,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
4,225,condition1,orange_purse,"
narancasta",4899,6,purse,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
5,225,condition1,orange_airplane,"
smeda",3826,7,airplane,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
6,225,condition1,green_lipstick,"
zelena",2420,8,lipstick,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
7,225,condition1,purple_bench,"
ljubicasta",5081,9,bench,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
8,225,condition1,blue_cap,"
plava",2156,10,cap,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
9,225,condition1,white_candle,"
bijela",2270,11,candle,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
10,225,condition1,white_bucket,"
bijela",2794,12,bucket,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
11,225,condition1,purple_duck,"
ljubičasta",6268,13,duck,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
12,225,condition1,yellow_mug,"
zuta",5559,14,mug,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
13,225,condition1,green_lock,"
zelena",2392,15,lock,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
14,225,condition1,black_fish,"
crna",1878,16,fish,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
15,225,condition1,red_key,"
crvena",2462,17,key,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
16,225,condition1,black_basket,"
crna",2002,18,basket,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
17,225,condition1,black_glove,"
crna",8443,19,glove,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
18,225,condition1,purple_tie,"
ljubicasta",5491,20,tie,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
19,225,condition1,black_shield,"
crna",2122,21,shield,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
20,225,condition1,yellow_switch,"
zuta",1820,22,switch,[],45.0,Yes,hrvatski,"Na tipkovnici nemam palatale osim ako ne pritisnem posebnu tipku, te zbog toga u samo jednom odgovoru koristim palatal",HR,ikavica,štokavski,1,2,Bila je,hrvatski,Female,preAndPostAge8,engleski,Nisam,Safari,Mac,900,1440,8.28075,,native
