workerid,proliferate.condition,time_in_minutes,error
225,condition1,8.28075,
282,condition1,8.935966666666667,
226,condition1,7.312383333333333,
263,condition1,5.5953333333333335,
165,condition1,9.55195,
246,condition1,10.3095,
245,condition1,13.2041,
284,condition1,22.865,
267,condition1,8.216616666666667,
203,condition1,7.781583333333334,
204,condition1,7.092583333333334,
197,condition1,14.874466666666669,
220,condition1,5.2431,
184,condition1,5.583683333333333,
288,condition1,5.3787666666666665,
192,condition1,8.03805,
151,condition1,12.80875,
178,condition1,12.800533333333334,
186,condition1,10.626716666666669,
155,condition1,7.643633333333334,
251,condition1,8.219016666666667,
164,condition1,9.732266666666666,
228,condition1,11.51935,
157,condition1,5.216433333333334,
161,condition1,5.145216666666666,
276,condition1,5.87405,
207,condition1,13.722166666666666,
211,condition1,19.383983333333333,
187,condition1,10.450783333333334,
286,condition1,15.17105,
153,condition1,10.5307,
273,condition1,8.630916666666666,
278,condition1,13.660733333333331,
212,condition1,8.77685,
238,condition1,13.765083333333331,
181,condition1,4.795233333333333,
188,condition1,10.2033,
193,condition1,7.459683333333333,
227,condition1,14.2113,
234,condition1,17.79928333333333,
255,condition1,7.682816666666667,
287,condition1,37.673033333333336,
183,condition1,15.9231,
279,condition1,13.86385,
216,condition1,14.35175,
160,condition1,10.47735,
210,condition1,5.8741666666666665,
270,condition1,8.465316666666666,
215,condition1,9.4385,
244,condition1,6.66255,
185,condition1,6.749116666666667,
254,condition1,7.923966666666667,
224,condition1,10.737283333333334,
250,condition1,14.664066666666669,
177,condition1,12.855466666666668,
205,condition1,7.103466666666667,
256,condition1,11.3806,
235,condition1,11.279083333333332,
223,condition1,22.044416666666667,
265,condition1,19.8771,
242,condition1,7.814466666666666,
171,condition1,13.768766666666666,
201,condition1,14.589666666666666,
196,condition1,13.269666666666666,
175,condition1,7.223033333333333,
