,workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,schoolLanguage,subject_information.comments,country,subject_information.dialectOne,subject_information.dialectTwo,subject_information.education,subject_information.enjoyment,subject_information.fairprice,firstLanguage,subject_information.gender,subject_information.liveInYugo,otherLanguage,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,status
0,158,condition1,red_balloon,balon,6403,2,balloon,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
1,158,condition1,blue_bed,krevet,5472,3,bed,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
2,158,condition1,blue_notebook,sveska,8285,4,notebook,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
3,158,condition1,black_tent,sator,8458,5,tent,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
4,158,condition1,black_basket,korpa,5552,6,basket,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
5,158,condition1,green_razor,brijac,11725,7,razor,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
6,158,condition1,green_umbrella,kisobran,6742,8,umbrella,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
7,158,condition1,green_luggage,torba,5795,9,luggage,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
8,158,condition1,black_vase,vazna,4917,10,vase,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
9,158,condition1,purple_purse,tasna,4528,11,purse,[],39.0,Yes,svedski,,BIH,ijekavica,štokavski,3,1,Da,srpskohrvatski i svedski,Male,preAge8,engleski,Da. Rijeci od tri slova ili krace nisu se mogle pisati.,Chrome,Windows,720,1280,20.39855,,heritage
