Trial,colorCondition,genderCondition,nounUse,colorUse
1,redundant,match,0,1
2,redundant,match,0,0
3,redundant,match,0,0
4,redundant,match,0,0
5,redundant,match,0,0
6,redundant,mismatch,0,0
7,redundant,mismatch,0,0
8,redundant,mismatch,0,1
9,redundant,mismatch,0,1
10,redundant,mismatch,0,1
11,necessary,match,0,1
12,necessary,match,0,1
13,necessary,match,0,1
14,necessary,match,0,1
15,necessary,match,0,1
16,necessary,mismatch,0,1
17,necessary,mismatch,0,1
18,necessary,mismatch,0,1
19,necessary,mismatch,0,1
20,necessary,mismatch,0,1
