"","utterance","condition","Mean","CILow","CIHigh","YMin","YMax","model","language"
"1","color","color sufficient",0.983122362869198,0.0126582278481012,0.010548523206751,0.970464135021097,0.993670886075949,"empirical","English"
"2","color","size sufficient",0.0287648054145516,0.011844331641286,0.0152284263959391,0.0169204737732657,0.0439932318104907,"empirical","English"
"3","size","color sufficient",0.00210970464135021,0.00210970464135021,0.00421940928270042,0,0.00632911392405063,"empirical","English"
"4","size","size sufficient",0.465313028764805,0.0406091370558376,0.0406514382402707,0.424703891708968,0.505964467005076,"empirical","English"
"5","size_color","color sufficient",0.0147679324894515,0.0105485232067511,0.0105485232067511,0.00421940928270042,0.0253164556962025,"empirical","English"
"6","size_color","size sufficient",0.505922165820643,0.038917089678511,0.038917089678511,0.467005076142132,0.544839255499154,"empirical","English"
"7","size_color","color sufficient",0.0179431242917715,0,0,0,0,"vanilla","English"
"8","size_color","size sufficient",0.486768022451395,0,0,0,0,"vanilla","English"
"9","color","color sufficient",0.982036423530192,0,0,0,0,"vanilla","English"
"10","color","size sufficient",0.0306284197744661,0,0,0,0,"vanilla","English"
"11","size","color sufficient",2.04521780371133e-05,0,0,0,0,"vanilla","English"
"12","size","size sufficient",0.482603557774139,0,0,0,0,"vanilla","English"
"13","size_color","color sufficient",0.0139059864969395,0,0,0,0,"continuous","English"
"14","size_color","size sufficient",0.528490665947098,0,0,0,0,"continuous","English"
"15","color","color sufficient",0.985343066188952,0,0,0,0,"continuous","English"
"16","color","size sufficient",0.0266165139549274,0,0,0,0,"continuous","English"
"17","size","color sufficient",0.000750170459898532,0,0,0,0,"continuous","English"
"18","size","size sufficient",0.444892268757996,0,0,0,0,"continuous","English"
"19","size_color","color sufficient",0.0168502807709585,0,0,0,0,"incremental","English"
"20","size_color","size sufficient",0.48428870799269,0,0,0,0,"incremental","English"
"21","color","color sufficient",0.98275292994769,0,0,0,0,"incremental","English"
"22","color","size sufficient",0.0303429710412159,0,0,0,0,"incremental","English"
"23","size","color sufficient",0.00039678928135128,0,0,0,0,"incremental","English"
"24","size","size sufficient",0.485368320966094,0,0,0,0,"incremental","English"
"25","size_color","color sufficient",0.0103122412530053,0,0,0,0,"incrementalContinuous","English"
"26","size_color","size sufficient",0.541942188942247,0,0,0,0,"incrementalContinuous","English"
"27","color","color sufficient",0.989548592464846,0,0,0,0,"incrementalContinuous","English"
"28","color","size sufficient",0.0361218172556612,0,0,0,0,"incrementalContinuous","English"
"29","size","color sufficient",0.000138898135898842,0,0,0,0,"incrementalContinuous","English"
"30","size","size sufficient",0.4219264473897,0,0,0,0,"incrementalContinuous","English"
