"","utterance","condition","Mean","model","language"
"1","color","color sufficient",0.983122362869198,"empirical","English"
"2","color","size sufficient",0.0287648054145516,"empirical","English"
"3","size","color sufficient",0.00210970464135021,"empirical","English"
"4","size","size sufficient",0.465313028764805,"empirical","English"
"5","size_color","color sufficient",0.0147679324894515,"empirical","English"
"6","size_color","size sufficient",0.505922165820643,"empirical","English"
"7","size_color","color sufficient",0.018779299271726,"vanilla","English"
"8","size_color","size sufficient",0.486643024207806,"vanilla","English"
"9","color","color sufficient",0.98119818328009,"vanilla","English"
"10","color","size sufficient",0.0307423956824814,"vanilla","English"
"11","size","color sufficient",2.25174481841626e-05,"vanilla","English"
"12","size","size sufficient",0.482614580109713,"vanilla","English"
"13","size_color","color sufficient",0.0608463875814406,"continuous","English"
"14","size_color","size sufficient",0.426185799535023,"continuous","English"
"15","color","color sufficient",0.932459925896468,"continuous","English"
"16","color","size sufficient",0.00994624641024045,"continuous","English"
"17","size","color sufficient",0.00668795625689411,"continuous","English"
"18","size","size sufficient",0.563867377549407,"continuous","English"
"19","size_color","color sufficient",0.0175692545764697,"incremental","English"
"20","size_color","size sufficient",0.484927369769496,"incremental","English"
"21","color","color sufficient",0.982011972789193,"incremental","English"
"22","color","size sufficient",0.0299028194436543,"incremental","English"
"23","size","color sufficient",0.000418772634337089,"incremental","English"
"24","size","size sufficient",0.48516981078685,"incremental","English"
"25","size_color","color sufficient",0.0121101991052913,"incrementalContinuous","English"
"26","size_color","size sufficient",0.557992414310846,"incrementalContinuous","English"
"27","color","color sufficient",0.986875630751169,"incrementalContinuous","English"
"28","color","size sufficient",0.116518351178086,"incrementalContinuous","English"
"29","size","color sufficient",0.000981857992540711,"incrementalContinuous","English"
"30","size","size sufficient",0.325379708469185,"incrementalContinuous","English"
