"","gameId","roundNumber","condition","size","color","othercolor","item","response"
"1","4762-9",6,"size31","size","color","othercolor","item","size"
"2","4762-9",7,"color31","size","color","othercolor","item","color"
"3","4762-9",8,"color31","size","color","othercolor","item","color"
"4","4762-9",9,"size31","size","color","othercolor","item","size_color"
"5","4762-9",11,"size31","size","color","othercolor","item","size"
"6","4762-9",12,"color31","size","color","othercolor","item","color"
"7","4762-9",13,"color31","size","color","othercolor","item","color"
"8","4762-9",16,"color31","size","color","othercolor","item","color"
"9","4762-9",18,"color31","size","color","othercolor","item","color"
"10","4762-9",20,"size31","size","color","othercolor","item","size_color"
"11","4762-9",21,"size31","size","color","othercolor","item","size_color"
"12","4762-9",23,"color31","size","color","othercolor","item","color"
"13","4762-9",24,"size31","size","color","othercolor","item","size_color"
"14","4762-9",29,"size31","size","color","othercolor","item","size_color"
"15","4762-9",30,"size31","size","color","othercolor","item","size_color"
"16","4762-9",31,"color31","size","color","othercolor","item","color"
"17","4762-9",33,"size31","size","color","othercolor","item","size_color"
"18","4762-9",36,"color31","size","color","othercolor","item","color"
"19","4762-9",40,"color31","size","color","othercolor","item","color"
"20","4762-9",41,"color31","size","color","othercolor","item","color"
"21","4762-9",42,"size31","size","color","othercolor","item","size_color"
"22","4762-9",43,"color31","size","color","othercolor","item","color"
"23","4762-9",46,"color31","size","color","othercolor","item","color"
"24","4762-9",47,"size31","size","color","othercolor","item","size_color"
"25","4762-9",48,"size31","size","color","othercolor","item","size_color"
"26","4762-9",49,"color31","size","color","othercolor","item","color"
"27","4762-9",50,"size31","size","color","othercolor","item","size_color"
"28","4762-9",57,"size31","size","color","othercolor","item","size_color"
"29","4762-9",60,"size31","size","color","othercolor","item","size_color"
"30","2429-5",7,"color31","size","color","othercolor","item","color"
"31","2429-5",8,"color31","size","color","othercolor","item","color"
"32","2429-5",9,"size31","size","color","othercolor","item","size_color"
"33","2429-5",11,"size31","size","color","othercolor","item","size_color"
"34","2429-5",12,"size31","size","color","othercolor","item","size_color"
"35","2429-5",13,"size31","size","color","othercolor","item","size_color"
"36","2429-5",17,"color31","size","color","othercolor","item","color"
"37","2429-5",18,"size31","size","color","othercolor","item","size_color"
"38","2429-5",19,"size31","size","color","othercolor","item","size_color"
"39","2429-5",20,"color31","size","color","othercolor","item","color"
"40","2429-5",21,"size31","size","color","othercolor","item","size_color"
"41","2429-5",23,"color31","size","color","othercolor","item","color"
"42","2429-5",25,"color31","size","color","othercolor","item","color"
"43","2429-5",32,"color31","size","color","othercolor","item","color"
"44","2429-5",33,"color31","size","color","othercolor","item","color"
"45","2429-5",36,"size31","size","color","othercolor","item","size_color"
"46","2429-5",40,"color31","size","color","othercolor","item","color"
"47","2429-5",42,"size31","size","color","othercolor","item","size_color"
