"","gameId","roundNumber","condition","size","color","othercolor","item","response"
"1","9173-1",8,"size31","size","color","othercolor","item","size_color"
"2","9173-1",13,"color31","size","color","othercolor","item","color"
"3","9173-1",14,"size31","size","color","othercolor","item","size_color"
"4","9173-1",15,"color31","size","color","othercolor","item","size_color"
"5","9173-1",16,"size31","size","color","othercolor","item","size_color"
"6","9173-1",18,"color31","size","color","othercolor","item","color"
"7","9173-1",20,"color31","size","color","othercolor","item","color"
"8","9173-1",22,"size31","size","color","othercolor","item","size"
"9","9173-1",25,"color31","size","color","othercolor","item","color"
"10","9173-1",27,"color31","size","color","othercolor","item","color"
"11","9173-1",28,"size31","size","color","othercolor","item","size_color"
"12","9173-1",30,"size31","size","color","othercolor","item","size_color"
"13","9173-1",33,"size31","size","color","othercolor","item","size_color"
"14","9173-1",36,"size31","size","color","othercolor","item","size_color"
"15","9173-1",37,"size31","size","color","othercolor","item","color"
"16","9173-1",38,"color31","size","color","othercolor","item","color"
"17","9173-1",39,"size31","size","color","othercolor","item","size_color"
"18","9173-1",40,"color31","size","color","othercolor","item","color"
"19","9173-1",41,"size31","size","color","othercolor","item","size_color"
"20","9173-1",42,"size31","size","color","othercolor","item","size_color"
"21","9173-1",45,"color31","size","color","othercolor","item","size_color"
"22","9173-1",47,"color31","size","color","othercolor","item","size_color"
"23","9173-1",49,"size31","size","color","othercolor","item","size_color"
"24","9173-1",54,"size31","size","color","othercolor","item","size_color"
"25","9173-1",55,"size31","size","color","othercolor","item","color"
"26","9173-1",59,"color31","size","color","othercolor","item","color"
"27","9173-1",60,"size31","size","color","othercolor","item","size_color"
"28","0881-8",6,"color31","size","color","othercolor","item","size"
"29","0881-8",7,"size31","size","color","othercolor","item","size_color"
"30","0881-8",11,"color31","size","color","othercolor","item","color"
"31","0881-8",12,"color31","size","color","othercolor","item","size_color"
"32","0881-8",14,"size31","size","color","othercolor","item","size_color"
"33","0881-8",16,"color31","size","color","othercolor","item","color"
"34","0881-8",22,"size31","size","color","othercolor","item","size_color"
"35","0881-8",23,"size31","size","color","othercolor","item","size"
"36","0881-8",24,"size31","size","color","othercolor","item","color"
"37","0881-8",27,"color31","size","color","othercolor","item","color"
"38","0881-8",30,"size31","size","color","othercolor","item","size_color"
"39","0881-8",31,"color31","size","color","othercolor","item","color"
"40","0881-8",32,"color31","size","color","othercolor","item","color"
"41","0881-8",35,"size31","size","color","othercolor","item","size"
"42","0881-8",37,"color31","size","color","othercolor","item","color"
"43","0881-8",43,"size31","size","color","othercolor","item","size_color"
"44","0881-8",44,"color31","size","color","othercolor","item","size_color"
"45","0881-8",46,"color31","size","color","othercolor","item","size_color"
"46","0881-8",47,"color31","size","color","othercolor","item","color"
"47","0881-8",52,"size31","size","color","othercolor","item","size"
"48","0881-8",53,"size31","size","color","othercolor","item","color"
"49","0881-8",54,"color31","size","color","othercolor","item","color"
"50","0881-8",57,"size31","size","color","othercolor","item","size_color"
"51","0881-8",58,"color31","size","color","othercolor","item","color"
"52","0881-8",59,"size31","size","color","othercolor","item","color"
"53","9458-d",14,"size31","size","color","othercolor","item","size"
"54","9458-d",20,"size31","size","color","othercolor","item","size"
"55","9458-d",21,"size31","size","color","othercolor","item","size"
"56","9458-d",28,"color31","size","color","othercolor","item","color"
"57","9458-d",29,"size31","size","color","othercolor","item","size_color"
"58","9458-d",31,"color31","size","color","othercolor","item","color"
"59","9458-d",33,"size31","size","color","othercolor","item","size_color"
"60","9458-d",35,"size31","size","color","othercolor","item","size_color"
"61","9458-d",36,"size31","size","color","othercolor","item","size_color"
"62","9458-d",37,"size31","size","color","othercolor","item","size_color"
"63","9458-d",40,"size31","size","color","othercolor","item","size"
"64","9458-d",44,"color31","size","color","othercolor","item","color"
"65","9458-d",45,"size31","size","color","othercolor","item","size"
"66","9458-d",46,"color31","size","color","othercolor","item","color"
"67","9458-d",50,"size31","size","color","othercolor","item","size"
"68","9458-d",51,"color31","size","color","othercolor","item","color"
"69","9458-d",53,"color31","size","color","othercolor","item","color"
"70","9458-d",55,"color31","size","color","othercolor","item","size"
"71","9458-d",56,"size31","size","color","othercolor","item","size"
"72","9458-d",58,"color31","size","color","othercolor","item","color"
"73","9458-d",60,"color31","size","color","othercolor","item","size"
"74","7680-b",6,"size31","size","color","othercolor","item","size"
"75","7680-b",8,"size31","size","color","othercolor","item","color"
"76","7680-b",9,"color31","size","color","othercolor","item","color"
"77","7680-b",11,"color31","size","color","othercolor","item","color"
"78","7680-b",24,"size31","size","color","othercolor","item","size"
"79","7680-b",26,"size31","size","color","othercolor","item","size"
"80","7680-b",28,"size31","size","color","othercolor","item","size"
"81","7680-b",31,"size31","size","color","othercolor","item","size"
"82","7680-b",39,"size31","size","color","othercolor","item","size"
"83","7680-b",44,"color31","size","color","othercolor","item","color"
"84","7680-b",45,"color31","size","color","othercolor","item","color"
"85","7680-b",46,"size31","size","color","othercolor","item","size_color"
"86","7680-b",47,"size31","size","color","othercolor","item","size"
"87","7680-b",51,"size31","size","color","othercolor","item","size_color"
"88","7680-b",52,"color31","size","color","othercolor","item","color"
"89","7680-b",53,"size31","size","color","othercolor","item","color"
"90","7680-b",54,"color31","size","color","othercolor","item","color"
"91","7680-b",57,"size31","size","color","othercolor","item","color"
"92","7680-b",60,"color31","size","color","othercolor","item","color"
"93","7120-3",6,"size31","size","color","othercolor","item","size"
"94","7120-3",7,"size31","size","color","othercolor","item","size_color"
"95","7120-3",11,"size31","size","color","othercolor","item","size_color"
"96","7120-3",12,"color31","size","color","othercolor","item","color"
"97","7120-3",13,"size31","size","color","othercolor","item","size_color"
"98","7120-3",14,"color31","size","color","othercolor","item","color"
"99","7120-3",15,"size31","size","color","othercolor","item","size_color"
"100","7120-3",16,"size31","size","color","othercolor","item","size_color"
"101","7120-3",18,"color31","size","color","othercolor","item","color"
"102","7120-3",20,"color31","size","color","othercolor","item","color"
"103","7120-3",21,"size31","size","color","othercolor","item","size_color"
"104","7120-3",23,"color31","size","color","othercolor","item","color"
"105","7120-3",24,"color31","size","color","othercolor","item","color"
"106","7120-3",26,"color31","size","color","othercolor","item","color"
"107","7120-3",28,"color31","size","color","othercolor","item","color"
"108","7120-3",31,"size31","size","color","othercolor","item","size_color"
"109","7120-3",32,"color31","size","color","othercolor","item","color"
"110","7120-3",38,"size31","size","color","othercolor","item","size_color"
"111","7120-3",39,"color31","size","color","othercolor","item","color"
"112","7120-3",44,"size31","size","color","othercolor","item","size_color"
"113","7120-3",45,"size31","size","color","othercolor","item","size_color"
"114","7120-3",46,"size31","size","color","othercolor","item","size_color"
"115","7120-3",47,"size31","size","color","othercolor","item","size_color"
"116","7120-3",50,"color31","size","color","othercolor","item","color"
"117","7120-3",53,"color31","size","color","othercolor","item","color"
"118","7120-3",54,"color31","size","color","othercolor","item","color"
"119","7120-3",56,"color31","size","color","othercolor","item","color"
"120","7120-3",57,"size31","size","color","othercolor","item","size_color"
"121","7120-3",58,"size31","size","color","othercolor","item","size_color"
"122","7120-3",59,"size31","size","color","othercolor","item","size_color"
