"","gameId","roundNumber","condition","size","color","othercolor","item","response"
"1","9173-1",7,"color31","size","color","othercolor","item","size_color"
"2","9173-1",8,"size31","size","color","othercolor","item","size_color"
"3","9173-1",13,"color31","size","color","othercolor","item","color"
"4","9173-1",14,"size31","size","color","othercolor","item","size_color"
"5","9173-1",15,"color31","size","color","othercolor","item","size_color"
"6","9173-1",16,"size31","size","color","othercolor","item","size_color"
"7","9173-1",18,"color31","size","color","othercolor","item","color"
"8","9173-1",20,"color31","size","color","othercolor","item","color"
"9","9173-1",22,"size31","size","color","othercolor","item","size"
"10","9173-1",25,"color31","size","color","othercolor","item","color"
"11","9173-1",27,"color31","size","color","othercolor","item","color"
"12","9173-1",28,"size31","size","color","othercolor","item","size_color"
"13","9173-1",30,"size31","size","color","othercolor","item","size_color"
"14","9173-1",33,"size31","size","color","othercolor","item","size_color"
"15","9173-1",36,"size31","size","color","othercolor","item","size_color"
"16","9173-1",37,"size31","size","color","othercolor","item","size_color"
"17","9173-1",38,"color31","size","color","othercolor","item","color"
"18","9173-1",39,"size31","size","color","othercolor","item","size_color"
"19","9173-1",40,"color31","size","color","othercolor","item","color"
"20","9173-1",41,"size31","size","color","othercolor","item","size_color"
"21","9173-1",42,"size31","size","color","othercolor","item","size_color"
"22","9173-1",45,"color31","size","color","othercolor","item","size_color"
"23","9173-1",47,"color31","size","color","othercolor","item","size_color"
"24","9173-1",49,"size31","size","color","othercolor","item","size_color"
"25","9173-1",54,"size31","size","color","othercolor","item","size_color"
"26","9173-1",55,"size31","size","color","othercolor","item","size_color"
"27","9173-1",59,"color31","size","color","othercolor","item","color"
"28","9173-1",60,"size31","size","color","othercolor","item","size_color"
"29","0881-8",6,"color31","size","color","othercolor","item","size_color"
"30","0881-8",7,"size31","size","color","othercolor","item","size_color"
"31","0881-8",11,"color31","size","color","othercolor","item","color"
"32","0881-8",12,"color31","size","color","othercolor","item","size_color"
"33","0881-8",14,"size31","size","color","othercolor","item","size_color"
"34","0881-8",16,"color31","size","color","othercolor","item","color"
"35","0881-8",18,"size31","size","color","othercolor","item","size_color"
"36","0881-8",22,"size31","size","color","othercolor","item","size_color"
"37","0881-8",23,"size31","size","color","othercolor","item","size_color"
