"","gameid","roundNum","condition","targetName","gloss","pos_sequence","mouthing","pointing","notes","language","attempt","pos"
"1","4870-6",6,"size_sufficient","button_small_blue","four number white spot has circle two number blue stripe has, button, small, smallest","?",NA,NA,NA,"Turkish","attempt1","?"
"2","4870-6",14,"size_sufficient","apple_big_red","biggest red apple","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"3","4870-6",15,"size_sufficient","ball_big_purple","biggest purple baloon","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"4","4870-6",18,"size_sufficient","glove_small_green","smallest green glove","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"5","4870-6",20,"color_sufficient","tie_big_red","red tie","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"6","4870-6",21,"size_sufficient","knife_big_red","biggest red knife","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"7","4870-6",22,"size_sufficient","brush_big_blue","biggest brush, blue brush","size noun, color noun",NA,NA,NA,"Turkish","attempt1","size noun"
"8","4870-6",23,"size_sufficient","bag_big_blue","biggest blue bag","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"9","4870-6",24,"color_sufficient","pants_big_green","green pants","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"10","4870-6",25,"size_sufficient","clock_small_purple","smallest clock purple","size noun color",NA,NA,NA,"Turkish","attempt1","size noun color"
"11","4870-6",27,"color_sufficient","pepper_small_red","red pepper","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"12","4870-6",29,"color_sufficient","toothbrush_big_purple","purple brush","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"13","4870-6",30,"color_sufficient","lipstick_big_pink","red lipstick, light red","color2 noun, mod2 color2",NA,NA,NA,"Turkish","attempt1","color2 noun"
"14","4870-6",32,"color_sufficient","lighter_big_black","black lighter","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"15","4870-6",35,"size_sufficient","chair_big_yellow","biggest chair","size color",NA,NA,NA,"Turkish","attempt1","size color"
"16","4870-6",36,"color_sufficient","tshirt_big_orange","red tshirt","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"17","4870-6",37,"color_sufficient","show_small_yellow","yellow shoe","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"18","4870-6",38,"size_sufficient","key_small_gold","smallest key","size noun",NA,NA,NA,"Turkish","attempt1","size noun"
"19","4870-6",39,"size_sufficient","flower_big_pink","biggest red flower","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"20","4870-6",41,"color_sufficient","skirt_big_blue","pink skirt, blue skirt","color2 noun, color noun",NA,NA,NA,"Turkish","attempt1","color2 noun"
"21","4870-6",44,"size_sufficient","glasses_small_blue","smallest glasses","size noun",NA,NA,NA,"Turkish","attempt1","size noun"
"22","4870-6",45,"size_sufficient","balloon_big_pink","biggest red baloon","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"23","4870-6",47,"color_sufficient","lock_small_gold","yellow key, lock","color noun2, noun",NA,NA,NA,"Turkish","attempt1","color noun2"
"24","4870-6",49,"color_sufficient","umbrella_small_blue","blue umbrella","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"25","4870-6",50,"color_sufficient","scissors_big_blue","blue scissors","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"26","4870-6",51,"size_sufficient","dress_big_blue","big blue skirt, dress","size color noun2, noun",NA,NA,NA,"Turkish","attempt1","size color noun2"
"27","4870-6",54,"size_sufficient","cat_big_black","biggest cat","size noun",NA,NA,NA,"Turkish","attempt1","size noun"
"28","4870-6",55,"color_sufficient","socks_big_blue","blue boots, socks","color noun2, noun",NA,NA,NA,"Turkish","attempt1","color noun2"
"29","4870-6",59,"size_sufficient","car_small_blue","smallest blue taxi","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"30","4870-6",60,"color_sufficient","pot_small_blue","with-lid pot smallest blue","noun2 noun size color",NA,NA,NA,"Turkish","attempt1","noun2 noun size color"
"31","0031-a",6,"size_sufficient","dress_small_green","dress, small dress, smallest, green","noun, size noun, size, color",NA,NA,NA,"Turkish","attempt1","noun"
"32","0031-a",7,"size_sufficient","apple_small_green","smallest apple, green apple","size noun, color noun",NA,NA,NA,"Turkish","attempt1","size noun"
"33","0031-a",11,"color_sufficient","pepper_big_red","red to-stuff pepper","color mod2 noun",NA,NA,"kirmizi dolmalik biber","Turkish","attempt1","color mod2 noun"
"34","0031-a",12,"size_sufficient","glasses_big_red","biggest framed glasses","size mod2 noun",NA,NA,NA,"Turkish","attempt1","size mod2 noun"
"35","0031-a",13,"size_sufficient","ball_small_yellow","smallest, is this an egg, smallest egg yellow","size, noun2, size noun2 color",NA,NA,NA,"Turkish","attempt1","size"
"36","0031-a",15,"color_sufficient","lighter_small_white","white lighter","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"37","0031-a",17,"color_sufficient","pot_big_green","green pot with-handle","color noun mod2",NA,NA,NA,"Turkish","attempt1","color noun mod2"
"38","0031-a",18,"size_sufficient","button_big_blue","biggest ?, or button i-don’t-know","size noun2, noun",NA,NA,NA,"Turkish","attempt1","size noun2"
"39","0031-a",19,"size_sufficient","clock_small_purple","clock, smallest clock, smallest clock, blue one","noun, size noun, size noun, color noun2",NA,NA,NA,"Turkish","attempt1","noun"
"40","0031-a",20,"size_sufficient","knife_small_red","smallest knife","size noun",NA,NA,NA,"Turkish","attempt1","size noun"
"41","0031-a",21,"color_sufficient","tie_small_red","red mm-what-was-it tie","color noun2 noun",NA,NA,NA,"Turkish","attempt1","color noun2 noun"
"42","0031-a",22,"color_sufficient","umbrella_big_blue","blue umbrella","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"43","0031-a",26,"color_sufficient","tshirt_big_yellow","yellow tshirt","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"44","0031-a",27,"size_sufficient","brush_big_red","biggest paint-brush","size noun",NA,NA,NA,"Turkish","attempt1","size noun"
"45","0031-a",29,"color_sufficient","skirt_small_green","green skirt","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"46","0031-a",30,"color_sufficient","socks_big_blue","blue socks, socks right","color noun, noun",NA,NA,NA,"Turkish","attempt1","color noun"
"47","0031-a",31,"color_sufficient","scissors_small_green","green scissors","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"48","0031-a",32,"size_sufficient","glove_small_orange","smallest red gloves","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"49","0031-a",33,"color_sufficient","lock_small_gold","yellow lock","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"50","0031-a",35,"color_sufficient","shoe_big_yellow","yellow shoe man shoe","color noun mod2 noun",NA,NA,NA,"Turkish","attempt1","color noun mod2 noun"
"51","0031-a",39,"size_sufficient","flower_small_pink","smallest red flower","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"52","0031-a",45,"size_sufficient","bag_small_blue","blue small bag","color size noun",NA,NA,NA,"Turkish","attempt1","color size noun"
"53","0031-a",46,"color_sufficient","lipstick_big_red","red lipstick, no red i-mean that pink little light red not but other red, weird red","color noun, neg color noun2 color2 mod2 color2 neg mod3 color, mod4 color",NA,NA,"kirmizi ruj kirmizi, hayir kirmizi derken o pembe biraz acik kirmizi degil de obur kirmizi, degisik kirmizi","Turkish","attempt1","color noun"
"54","0031-a",47,"color_sufficient","toothbrush_big_green","green toothbrush","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"55","0031-a",48,"size_sufficient","car_small_green","small green car","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"56","0031-a",49,"size_sufficient","baloon_small_yellow","smallest yellow balloon","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"57","0031-a",52,"size_sufficient","chair_small_blue","small smallest blue chair","size size color noun",NA,NA,NA,"Turkish","attempt1","size size color noun"
"58","0031-a",53,"size_sufficient","key_small_silver","smallest gray key","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"59","0031-a",55,"color_sufficient","pants_small_pink","pink pants","color noun",NA,NA,NA,"Turkish","attempt1","color noun"
"60","0031-a",58,"size_sufficient","cat_big_black","biggest black cat","size color noun",NA,NA,NA,"Turkish","attempt1","size color noun"
"61","9173-1",7,"color_sufficient","scissors_small_green","tshirt scissors scissors ?, small scissors red not red, color, point(green)","noun2 noun noun ?, size noun color2 neg color2, COLOR, color",NA,"1","check order of color and negation again","CTSL","attempt1","noun2 noun noun ?"
"62","9173-1",8,"size_sufficient","balloon_big_pink","baloon point(pink) big, big","noun color size, size",NA,"1",NA,"CTSL","attempt1","noun color size"
"63","9173-1",13,"color_sufficient","pepper_big_green","pepper hot pepper hot point(green)","noun mod2 noun mod2 color",NA,"1",NA,"CTSL","attempt1","noun mod2 noun mod2 color"
"64","9173-1",14,"size_sufficient","dress_small_blue","dress small point(blue) small, small","noun size color size, size",NA,"1",NA,"CTSL","attempt1","noun size color size"
"65","9173-1",15,"color_sufficient","shoe_big_yellow","shoe big point(yellow)","noun size color",NA,"1",NA,"CTSL","attempt1","noun size color"
