"","gameid","roundNum","clickedObjCondition","clickedObjName","speakerMessages","attempt","gloss","replacedGloss","remove"
"1","4762-9",6,"size_sufficient","cat_small_white","small cat","attempt1","small cat","size noun",0
"2","4762-9",7,"color_sufficient","shoe_big_yellow","yellow shoes","attempt1","yellow shoes","color noun",0
"3","4762-9",8,"color_sufficient","toothbrush_small_green","green toothbrush","attempt1","green toothbrush","color noun",0
"4","4762-9",9,"size_sufficient","dress_big_blue","large blue dress","attempt1","large blue dress","size color noun",0
"5","4762-9",11,"size_sufficient","key_small_silver","small key","attempt1","small key","size noun",0
"6","4762-9",12,"color_sufficient","pepper_big_green","green pepper","attempt1","green pepper","color noun",0
"7","4762-9",13,"color_sufficient","pants_small_green","green pants","attempt1","green pants","color noun",0
"8","4762-9",16,"color_sufficient","lock_big_silver","silver lock","attempt1","silver lock","color noun",0
"9","4762-9",18,"color_sufficient","lipstick_big_red","red lipstick","attempt1","red lipstick","color noun",0
"10","4762-9",20,"size_sufficient","chair_small_yellow","small yellow chair","attempt1","small yellow chair","size color noun",0
"11","4762-9",21,"size_sufficient","brush_big_blue","large blue brush","attempt1","large blue brush","size color noun",0
"12","4762-9",23,"color_sufficient","umbrella_small_green","green umbrella ","attempt1","green umbrella ","color noun ",0
"13","4762-9",24,"size_sufficient","car_small_green","small green car","attempt1","small green car","size color noun",0
"14","4762-9",29,"size_sufficient","button_big_blue","large blue button","attempt1","large blue button","size color noun",0
"15","4762-9",30,"size_sufficient","apple_small_red","small red apple","attempt1","small red apple","size color noun",0
"16","4762-9",31,"color_sufficient","socks_small_green","green socks","attempt1","green socks","color noun",0
"17","4762-9",33,"size_sufficient","clock_big_yellow","large yellow clock","attempt1","large yellow clock","size color noun",0
"18","4762-9",36,"color_sufficient","tie_big_red","red tie","attempt1","red tie","color noun",0
"19","4762-9",40,"color_sufficient","pot_big_blue","blue pot","attempt1","blue pot","color noun",0
"20","4762-9",41,"color_sufficient","skirt_big_blue","blue dress","attempt1","blue dress","color noun",0
"21","4762-9",42,"size_sufficient","bag_small_blue","small blue bag","attempt1","small blue bag","size color noun",0
"22","4762-9",43,"color_sufficient","tshirt_big_yellow","yellow shirt","attempt1","yellow shirt","color noun",0
"23","4762-9",46,"color_sufficient","lighter_big_black","black lighter","attempt1","black lighter","color noun",0
"24","4762-9",47,"size_sufficient","ball_small_yellow","small yellow ball","attempt1","small yellow ball","size color noun",0
"25","4762-9",48,"size_sufficient","glasses_small_red","small red glasses","attempt1","small red glasses","size color noun",0
"26","4762-9",49,"color_sufficient","scissors_big_green","green scissor ","attempt1","green scissor ","color noun ",0
"27","4762-9",50,"size_sufficient","flower_big_yellow","large yellow flower","attempt1","large yellow flower","size color noun",0
"28","4762-9",57,"size_sufficient","knife_big_blue","large blue knife","attempt1","large blue knife","size color noun",0
"29","4762-9",60,"size_sufficient","glove_big_green","large green gloves","attempt1","large green gloves","size color nouns",0
"30","2429-5",7,"color_sufficient","socks_small_green","green socks","attempt1","green socks","color noun",0
"31","2429-5",8,"color_sufficient","scissors_big_blue","blue scissors","attempt1","blue scissors","color noun",0
"32","2429-5",9,"size_sufficient","ball_small_yellow","smallest yellow egg","attempt1","smallest yellow egg","size color egg",0
