condition,NumDistractors,SizeRedundant,ColorRedundant,SameSize,SameColor,SameNoun,SameSizeNoun,SameColorNoun,SameSizeColor
size_basic_target_m,3,yes,no,1,1,2,1,0,0
color_basic_target_m,3,no,yes,1,1,2,0,1,0
color_same_same_m,5,no,yes,1,3,4,0,3,0
size_same_same_m,5,yes,no,3,1,4,3,0,0
color_diff_diff_m,5,no,yes,1,1,2,0,1,0
size_diff_diff_m,5,yes,no,1,1,2,1,0,0
color_diff_same_m,5,no,yes,1,3,2,0,1,0
size_diff_same_m,5,yes,no,3,1,2,1,0,0
color_same_diff_m,5,no,yes,1,1,4,0,1,0
size_same_diff_m,5,yes,no,1,1,4,1,0,0
size_basic_target_f,3,yes,no,1,1,2,1,0,0
color_basic_target_f,3,no,yes,1,1,2,0,1,0
color_same_same_f,5,no,yes,1,3,4,0,3,0
size_same_same_f,5,yes,no,3,1,4,3,0,0
color_diff_diff_f,5,no,yes,1,1,2,0,1,0
size_diff_diff_f,5,yes,no,1,1,2,1,0,0
color_diff_same_f,5,no,yes,1,3,2,0,1,0
size_diff_same_f,5,yes,no,3,1,2,1,0,0
color_same_diff_f,5,no,yes,1,1,4,0,1,0
size_same_diff_f,5,yes,no,1,1,4,1,0,0
color_basic_filler_3_m,3,yes,no,1,1,2,1,0,0
size_basic_filler_3_m,3,no,yes,1,1,2,0,1,0
size_basic_filler_1_m,3,no,no,1,1,2,1,1,0
color_basic_filler_1_m,3,no,no,1,1,2,1,1,0
size_basic_filler_2_m,3,yes,yes,1,1,0,0,0,0
color_basic_filler_2_m,3,yes,yes,1,1,0,0,0,0
color_basic_filler_3_f,3,yes,no,1,1,2,1,0,0
size_basic_filler_3_f,3,no,yes,1,1,2,0,1,0
size_basic_filler_1_f,3,no,no,1,1,2,1,1,0
color_basic_filler_1_f,3,no,no,1,1,2,1,1,0
size_basic_filler_2_f,3,yes,yes,1,1,0,0,0,0
color_basic_filler_2_f,3,yes,yes,1,1,0,0,0,0
