workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.country,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.firstLanguage,subject_information.frenPrimaryLanguageSchool,subject_information.gender,subject_information.liveInFrenReg,subject_information.otherLanguage,subject_information.problems,subject_information.region,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
109,condition1,purple_bonbon,bonbon,2473,2,bonbon,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,black_helicopter,"
hélicoptère",3751,3,helicopter,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_screwdriver,"
tournevis",3320,4,screwdriver,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,orange_robot,"
robot",2540,5,robot,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,black_piano,"
piano",2064,6,piano,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_fish,"
poisson",2720,7,fish,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,yellow_bike,"
vélo",2511,8,bike,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,orange_airplane,"
avion",4175,9,airplane,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,orange_dresser,"
commode",2591,10,dresser,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,orange_shell,"
coquillage",4162,11,shell,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,white_phone,"
téléphone",2876,12,phone,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,green_umbrella,"
parapluie",2801,13,umbrella,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,black_purse,"
sac à main",3488,14,purse,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,blue_candle,"
bougie",2016,15,candle,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,green_hammer,"
marteau",5072,16,hammer,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,green_spoon,"
cuillère",7448,17,spoon,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,red_wallet,"
portefeuille",4456,18,wallet,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,white_mask,"
masque",5937,19,mask,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_camera,"
appareil photo",3970,20,camera,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,green_microscope,"
microscope",3277,21,microscope,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,blue_shirt,"
t-shirt",4239,22,shirt,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,blue_balloon,"
ballon",2657,23,balloon,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_shovel,"
pelle",2319,24,shovel,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,black_lipstick,"
rouge à lèvres",5040,25,lipstick,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_remote,"
télécommande",3366,26,remote,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,blue_butterfly,"
papillon",2361,27,butterfly,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,yellow_bed,"
lit",1492,28,bed,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,white_comb,"
brosse",3036,29,comb,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,blue_key,"
clef",2081,30,key,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,black_cake,"
gâteau",5552,31,cake,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,blue_switch,"
interrupteur",14656,32,switch,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,white_iron,"
fer à repasser",9792,33,iron,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,black_sock,"
chaussette",3580,34,sock,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_plate,"
assiette",2915,35,plate,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,red_mug,"
tasse",2056,36,mug,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,black_slipper,"
pantoufle",3320,37,slipper,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,red_yarn,"
boule de laine",6144,38,yarn,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,red_flower,"
fleur",1936,39,flower,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,orange_sponge,"
éponge",3795,40,sponge,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_ribbon,"
ruban",5388,41,ribbon,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,green_bandaid,"
pansement",3744,42,bandaid,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,white_armchair,"
fauteuil",4369,43,armchair,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,purple_razor,"
rasoir",3040,44,razor,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,orange_bowl,"
bol",2291,45,bowl,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
109,condition1,yellow_dustpan,"
pelle",3550,46,dustpan,[],35,Yes,,,4,-1,,Francais,Francais,Female,preAndPostAge8,"Anglais, suédois",,FR,Chrome,Linux,1440,2560,8.294683333333333,
