workerid,proliferate.condition,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.country,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.firstLanguage,subject_information.frenPrimaryLanguageSchool,subject_information.gender,subject_information.liveInFrenReg,subject_information.otherLanguage,subject_information.problems,subject_information.region,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
113,condition1,orange_lock,jaune,3910,2,lock,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,purple_bowl,"
violet",1976,3,bowl,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,green_whistle,"
vert",1552,4,whistle,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,green_robot,"
vert",1648,5,robot,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,purple_hammer,"
violet",2129,6,hammer,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,black_box,"
noir",1535,7,box,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,purple_tent,"
violet",2152,8,tent,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,purple_shell,"
violet",2345,9,shell,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,yellow_cushion,"
jaune",1591,10,cushion,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
113,condition1,yellow_ring,"
jaune",1608,11,ring,[],27,Yes,,martinique,4,1,oui,francais,francais,Female,preAndPostAge8,"anglais, espagnol",non,FR,Chrome,Mac,800,1280,4.394933333333333,
