Item,Gender
armchair,M
armchair,M
armchair,M
armchair,M
balloon,M
balloon,M
balloon,M
balloon,M
bed,M
bed,M
bed,M
bed,M
belt,F
belt,F
belt,F
belt,F
bike,M
bike,M
bike,M
bike,M
billiardball,F
billiardball,F
billiardball,F
billiardball,F
binder,M
binder,M
binder,M
binder,M
book,M
book,M
book,M
book,M
bracelet,M
bracelet,M
bracelet,M
bracelet,M
bucket,M
bucket,M
bucket,M
bucket,M
butterfly,M
butterfly,M
butterfly,M
butterfly,M
calculator,F
calculator,F
calculator,F
calculator,F
candle,F
candle,F
candle,F
candle,F
cap,F
cap,F
cap,F
cap,F
chair,F
chair,F
chair,F
chair,F
clock,F
clock,F
clock,F
clock,F
coathanger,M
coathanger,M
coathanger,M
coathanger,M
comb,M
comb,M
comb,M
comb,M
crown,F
crown,F
crown,F
crown,F
cushion,M
cushion,M
cushion,M
cushion,M
door,F
door,F
door,F
door,F
dress,F
dress,F
dress,F
dress,F
dustpan,F
dustpan,F
dustpan,F
dustpan,F
fence,F
fence,F
fence,F
fence,F
flower,F
flower,F
flower,F
flower,F
frame,M
frame,M
frame,M
frame,M
fryingpan,F
fryingpan,F
fryingpan,F
fryingpan,F
guitar,F
guitar,F
guitar,F
guitar,F
iron,M
iron,M
iron,M
iron,M
key,F
key,F
key,F
key,F
lamp,F
lamp,F
lamp,F
lamp,F
magnifyingglass,F
magnifyingglass,F
magnifyingglass,F
magnifyingglass,F
mask,M
mask,M
mask,M
mask,M
mouse,F
mouse,F
mouse,F
mouse,F
mug,F
mug,F
mug,F
mug,F
napkin,F
napkin,F
napkin,F
napkin,F
notebook,M
notebook,M
notebook,M
notebook,M
ornament,F
ornament,F
ornament,F
ornament,F
pencil,M
pencil,M
pencil,M
pencil,M
phone,M
phone,M
phone,M
phone,M
present,M
present,M
present,M
present,M
ring,F
ring,F
ring,F
ring,F
rug,M
rug,M
rug,M
rug,M
ruler,F
ruler,F
ruler,F
ruler,F
scarf,F
scarf,F
scarf,F
scarf,F
shirt,M
shirt,M
shirt,M
shirt,M
shoe,F
shoe,F
shoe,F
shoe,F
stapler,F
stapler,F
stapler,F
stapler,F
switch,M
switch,M
switch,M
switch,M
sword,F
sword,F
sword,F
sword,F
table,F
table,F
table,F
table,F
wallet,M
wallet,M
wallet,M
wallet,M
yarn,F
yarn,F
yarn,F
yarn,F
airplane,M
airplane,M
airplane,M
airplane,M
bandaid,M
bandaid,M
bandaid,M
bandaid,M
basket,M
basket,M
basket,M
basket,M
bench,M
bench,M
bench,M
bench,M
binoculars,FPl
binoculars,FPl
binoculars,FPl
binoculars,FPl
bonbon,M
bonbon,M
bonbon,M
bonbon,M
boot,F
boot,F
boot,F
boot,F
bowl,M
bowl,M
bowl,M
bowl,M
box,F
box,F
box,F
box,F
cake,M
cake,M
cake,M
cake,M
calendar,M
calendar,M
calendar,M
calendar,M
camera,M
camera,M
camera,M
camera,M
die,M
die,M
die,M
die,M
dresser,F
dresser,F
dresser,F
dresser,F
drum,M
drum,M
drum,M
drum,M
duck,M
duck,M
duck,M
duck,M
fish,M
fish,M
fish,M
fish,M
fork,F
fork,F
fork,F
fork,F
glove,M
glove,M
glove,M
glove,M
hammer,M
hammer,M
hammer,M
hammer,M
helicopter,M
helicopter,M
helicopter,M
helicopter,M
knife,M
knife,M
knife,M
knife,M
ladle,F
ladle,F
ladle,F
ladle,F
lipstick,M
lipstick,M
lipstick,M
lipstick,M
lock,M
lock,M
lock,M
lock,M
luggage,F
luggage,F
luggage,F
luggage,F
microscope,M
microscope,M
microscope,M
microscope,M
necklace,M
necklace,M
necklace,M
necklace,M
piano,M
piano,M
piano,M
piano,M
plate,F
plate,F
plate,F
plate,F
purse,M
purse,M
purse,M
purse,M
radio,M
radio,M
radio,M
radio,M
razor,M
razor,M
razor,M
razor,M
remote,F
remote,F
remote,F
remote,F
ribbon,M
ribbon,M
ribbon,M
ribbon,M
robot,M
robot,M
robot,M
robot,M
rope,F
rope,F
rope,F
rope,F
screwdriver,M
screwdriver,M
screwdriver,M
screwdriver,M
shell,M
shell,M
shell,M
shell,M
shield,M
shield,M
shield,M
shield,M
shovel,F
shovel,F
shovel,F
shovel,F
slipper,F
slipper,F
slipper,F
slipper,F
sock,F
sock,F
sock,F
sock,F
sponge,F
sponge,F
sponge,F
sponge,F
spoon,F
spoon,F
spoon,F
spoon,F
tent,F
tent,F
tent,F
tent,F
tie,F
tie,F
tie,F
tie,F
truck,M
truck,M
truck,M
truck,M
TV,F
TV,F
TV,F
TV,F
umbrella,M
umbrella,M
umbrella,M
umbrella,M
vase,M
vase,M
vase,M
vase,M
whistle,M
whistle,M
whistle,M
whistle,M
