Word,engFreq,specs,frenFreq
fork,13767,,
key,67404,,
remote,294,,
belt,29548,,
candle,15125,,
calculator,3294,,
cap,32115,* hat?,
chair,80186,,
clock,29112,,
crown,16806,,
tie,35058,,
tent,20170,,
spoon,11385,,
sock,14170,,
shovel,5572,,
scarf,7566,,
ruler,9784,,
ring,52405,,
ornament,4309,,
napkin,5698,,
mug,7750,,
mouse,28392,-getting right mouse,
lamp,14028,,
pan,24011,,
flower,48912,,
guitar,20550,,
dress,47994,,
door,252623,,
magnifyingglass,800,*,
stapler,393,,
ladle,506,,
bike,38920,,
comb,3222,,
armchair,2874,*chair?,
die,8174,dice,
drum,13670,,
fish,78114,,
frame,39817,,
hammer,11886,,
knife,35408,,
lipstick,5715,,
lock,1752,padlock,
mask,22256,,
microscope,4430,,
pencil,11283,,
phone,194941,,
balloon,12102,,
bed,127232,,
bonbon,21987,*candy,
bucket,12920,,
butterfly,10292,,
cake,33519,,
calendar,15617,,
coathanger,2409,,
cushion,53791,"cushion, pillow",
present,37433,,
piano,17786,,
whistle,6960,,
truck,67403,,
vase,4642,,
switch,15630,*,
shell,16622,*,
robot,20517,,
razor,5578,,
rug,9361,,
screwdriver,1886,,
airplane,70679,"airplane, plane",
billiardball,800,*,
