,engWord,engFreq,frenWord,frenFreq
0,sample Eng,zipf eng,sample French,zipf french
0,fork,4.03,fourchette,3.74
0,key,5.12,clé,4.62
0,remote,4.41,télécommande,3.55
0,belt,4.42,ceinture,4.27
0,candle,3.88,bougie,3.65
0,calculator,3.56,calculatrice,3.22
0,cap,4.51,casquette,3.75
0,chair,4.69,chaise,4.26
0,clock,4.43,réveil,4.15
0,crown,4.56,couronne,4.42
0,tie,4.51,cravate,3.71
0,tent,4.05,tente,4.7
0,spoon,3.88,cuillère,3.71
0,sock,3.61,chaussette,3.28
0,shovel,3.5,pelle,3.68
0,scarf,3.68,écharpe,3.61
0,ruler,3.84,règle,4.72
0,ring,4.81,bague,3.99
0,ornament,3.32,boule,4.2
0,napkin,3.16,serviette,3.72
0,mug,3.71,tasse,3.91
0,mouse,4.31,souris,4.43
0,lamp,4.05,lampe,4.04
0,pan,4.39,poêle,3.62
0,flower,4.42,fleur,4.34
0,guitar,4.48,guitare,4.2
0,dress,4.76,robe,4.59
0,door,5.08,porte,5.47
0,billiard ball,2.86,boule,4.2
0,magnifying glass,2.99,loupe,3.62
0,stapler,2.53,agrafeuse,2.25
0,ladle,2.66,louche,3.7
0,airplane,3.92,avion,4.86
0,bike,4.53,vélo,4.56
0,comb,3.52,peigne,3.35
0,armchair,3.21,fauteuil,4.15
0,balloon,3.9,ballon,4.42
0,bed,5.07,lit,5.03
0,bonbon,2.15,bonbon,3.53
0,bucket,4.07,seau,3.48
0,butterfly,3.93,papillon,3.89
0,cake,4.53,gâteau,4.22
0,calendar,4.3,calendrier,4.37
0,hanger,3.24,cintre,3.13
0,cushion,3.58,coussin,3.53
0,die,5.07,dé,3.95
0,drum,4.11,tambour,3.65
0,fish,4.9,poisson,4.5
0,frame,4.58,cadre,5.11
0,hammer,4.16,marteau,3.87
0,knife,4.41,couteau,4.32
0,lipstick,3.69,rouge à lèvres,4.35
0,lock,4.51,cadenas,3.39
0,mask,4.31,masque,4.29
0,microscope,3.5,microscope,3.29
0,pencil,3.95,crayon,3.84
0,phone,5.3,téléphone,5.0
0,present,5.18,cadeau,4.65
0,piano,4.31,piano,4.26
0,whistle,3.88,sifflet,3.39
0,truck,4.64,camion,4.27
0,vase,3.54,vase,3.77
0,switch,4.6,interrupteur,3.23
0,shell,4.39,coquillage,2.91
0,robot,4.24,robot,4.21
0,razor,3.72,rasoir,3.45
0,rug,3.72,tapis,4.28
0,screwdriver,3.13,tournevis,3.18
