number,stimuli1,stimuli2,stimuli3,stimuli4,target
1,2-black-triangle,3-black-sun,4-black-heart,1-black-circle,4-black-heart
2,1-black-heart,2-black-square,3-black-cross,4-black-rectangle,4-black-rectangle
3,2-black-cross,4-black-circle,3-black-rectangle,1-black-diamond,4-black-circle
4,4-black-diamond,1-black-heart,2-black-cross,3-black-rectangle,2-black-cross
5,1-black-cross,2-black-diamond,4-black-square,3-black-star,3-black-star
6,1-black-heart,4-black-cross,3-black-rectangle,2-black-circle,4-black-cross
7,1-black-rectangle,4-black-triangle,2-black-cross,3-black-square,2-black-cross
8,2-black-heart,4-black-square,1-black-oval,3-black-star,2-black-heart
9,3-black-square,1-black-sun,4-black-oval,2-black-diamond,2-black-diamond
10,3-black-sun,1-black-circle,4-black-oval,2-black-triangle,2-black-triangle
11,2-black-oval,1-black-triangle,3-black-sun,4-black-cross,4-black-cross
12,3-black-square,4-black-oval,2-black-star,1-black-circle,4-black-oval
13,3-black-diamond,4-black-star,2-black-square,1-black-cross,3-black-diamond
14,4-black-circle,1-black-sun,2-black-star,3-black-cross,3-black-cross
15,1-black-heart,2-black-diamond,3-black-circle,4-black-star,2-black-diamond
16,1-black-diamond,3-black-square,4-black-star,2-black-circle,3-black-square
17,3-black-oval,1-black-rectangle,4-black-triangle,2-black-square,3-black-oval
18,4-black-sun,1-black-heart,3-black-rectangle,2-black-diamond,3-black-rectangle
19,1-black-cross,2-black-heart,4-black-sun,3-black-triangle,4-black-sun
20,1-black-circle,2-black-square,3-black-heart,4-black-diamond,2-black-square
