colorNoise,sizeNoise,alpha,speakerProb,language
0.5,0.5,1,0.11875520313026502,English
0.5,0.5,2.5,0.10945587477855043,English
0.5,0.5,5,0.09438516719953635,English
0.5,0.5,10,0.06723535534249879,English
0.5,0.5,15,0.04560638095158942,English
0.5,0.5,20,0.029800730505529446,English
0.5,0.6,1,0.15133406416600143,English
0.5,0.6,2.5,0.18815723641493878,English
0.5,0.6,5,0.2306578445014638,English
0.5,0.6,10,0.2305366932404142,English
0.5,0.6,15,0.1743320960735554,English
0.5,0.6,20,0.11765609021374983,English
0.5,0.7,1,0.18513365728167946,English
0.5,0.7,2.5,0.2630328500619294,English
0.5,0.7,5,0.3184372899528168,English
0.5,0.7,10,0.2645644127273853,English
0.5,0.7,15,0.1821517827717654,English
0.5,0.7,20,0.11918663883666436,English
0.5,0.8,1,0.21924037500972005,English
0.5,0.8,2.5,0.3207748152787594,English
0.5,0.8,5,0.3552893913317651,English
0.5,0.8,10,0.2684171646561465,English
0.5,0.8,15,0.18241439011516516,English
0.5,0.8,20,0.11920269466102047,English
0.5,0.9,1,0.2527859718084064,English
0.5,0.9,2.5,0.3609618854188762,English
0.5,0.9,5,0.36925136568233863,English
0.5,0.9,10,0.2688736778910984,English
0.5,0.9,15,0.182425007926959,English
0.5,0.9,20,0.11920291823860453,English
0.5,1,1,0.285012487512636,English
0.5,1,2.5,0.3880381777025528,English
0.5,1,5,0.3744587041548952,English
0.5,1,10,0.2689323125853386,English
0.5,1,15,0.18242549837926303,English
0.5,1,20,0.1192029219537434,English
0.6,0.5,1,0.13075698023597612,English
0.6,0.5,2.5,0.13748789820547025,English
0.6,0.5,5,0.14350810277756346,English
0.6,0.5,10,0.13904062123154565,English
0.6,0.5,15,0.12123602934317755,English
0.6,0.5,20,0.09885124213308469,English
0.6,0.6,1,0.163989273322384,English
0.6,0.6,2.5,0.22498634813296076,English
0.6,0.6,5,0.31379356852644874,English
0.6,0.6,10,0.4175037961830581,English
0.6,0.6,15,0.46338057935049437,English
0.6,0.6,20,0.4841516880073195,English
0.6,0.7,1,0.1972215474000649,English
0.6,0.7,2.5,0.3002099377345666,English
0.6,0.7,5,0.4022223746633357,English
0.6,0.7,10,0.4408553506506999,English
0.6,0.7,15,0.4244905179737509,English
0.6,0.7,20,0.4013558785694547,English
0.6,0.8,1,0.22932460957084486,English
0.6,0.8,2.5,0.3505620710898037,English
0.6,0.8,5,0.41985806194868164,English
0.6,0.8,10,0.3934272600427029,English
0.6,0.8,15,0.3446080332724535,English
0.6,0.8,20,0.29799973869974167,English
0.6,0.9,1,0.2592429110559606,English
0.6,0.9,2.5,0.3777835518811792,English
0.6,0.9,5,0.4046046021599649,English
0.6,0.9,10,0.33339563188374477,English
0.6,0.9,15,0.2614521290367096,English
0.6,0.9,20,0.20027652198439233,English
0.6,1,1,0.2860340376470899,English
0.6,1,2.5,0.38754038173926364,English
0.6,1,5,0.37405457736551895,English
0.6,1,10,0.26892565728060497,English
0.6,1,15,0.1824254481504121,English
0.6,1,20,0.11920292166004527,English
0.7,0.5,1,0.14272595423031806,English
0.7,0.5,2.5,0.16153594317047068,English
0.7,0.5,5,0.17261709384800883,English
0.7,0.5,10,0.14733463429291635,English
0.7,0.5,15,0.10157501346300025,English
0.7,0.5,20,0.06198962452607213,English
0.7,0.6,1,0.1765638203532924,English
0.7,0.6,2.5,0.2543443167458749,English
0.7,0.6,5,0.35987065442311095,English
0.7,0.6,10,0.5130554600749077,English
0.7,0.6,15,0.6400610713970979,English
0.7,0.6,20,0.7439622079357153,English
0.7,0.7,1,0.20929597630883126,English
0.7,0.7,2.5,0.3280852970271146,English
0.7,0.7,5,0.4552481339585823,English
0.7,0.7,10,0.5793325467781387,English
0.7,0.7,15,0.6454889146859396,English
0.7,0.7,20,0.694917281668545,English
0.7,0.8,1,0.23968762443270564,English
0.7,0.8,2.5,0.3716955048384498,English
0.7,0.8,5,0.46401925914698167,English
0.7,0.8,10,0.49750600996712824,English
0.7,0.8,15,0.5001136103412099,English
0.7,0.8,20,0.5004026152835793,English
0.7,0.9,1,0.266637154399249,English
0.7,0.9,2.5,0.3887523052246379,English
0.7,0.9,5,0.42883204387993046,English
0.7,0.9,10,0.3851111205680852,English
0.7,0.9,15,0.33184621546263565,English
0.7,0.9,20,0.2822999900721883,English
0.7,1,1,0.2891999988075875,English
0.7,1,2.5,0.3859580419212149,English
0.7,1,5,0.37288277483336035,English
0.7,1,10,0.2689036281897934,English
0.7,1,15,0.1824252211881463,English
0.7,1,20,0.1192029196818079,English
0.8,0.5,1,0.15540156151136292,English
0.8,0.5,2.5,0.18063030964076268,English
0.8,0.5,5,0.1837961820592016,English
0.8,0.5,10,0.12797516658648836,English
0.8,0.5,15,0.06759218396782277,English
0.8,0.5,20,0.03152103035725181,English
0.8,0.6,1,0.18993995323304017,English
0.8,0.6,2.5,0.27592642736606093,English
0.8,0.6,5,0.3774826829513021,English
0.8,0.6,10,0.5253328510176254,English
0.8,0.6,15,0.6446537211578574,English
0.8,0.6,20,0.7376527986458677,English
0.8,0.7,1,0.2223253470021791,English
0.8,0.7,2.5,0.34737946696859456,English
0.8,0.7,5,0.4842205697741018,English
0.8,0.7,10,0.6670607948082619,English
0.8,0.7,15,0.7810183409617687,English
0.8,0.7,20,0.8545418675011249,English
0.8,0.8,1,0.25128266719806386,English
0.8,0.8,2.5,0.38546081508083396,English
0.8,0.8,5,0.4926576203644427,English
0.8,0.8,10,0.5773978346982025,English
0.8,0.8,15,0.6225540561550167,English
0.8,0.8,20,0.6615803029349138,English
0.8,0.9,1,0.2757410312403315,English
0.8,0.9,2.5,0.3948906794195282,English
0.8,0.9,5,0.44515154238155397,English
0.8,0.9,10,0.4263666636301798,English
0.8,0.9,15,0.39153938054704557,English
0.8,0.9,20,0.3571735776020349,English
0.8,1,1,0.2948405043234165,English
0.8,1,2.5,0.38303847407183433,English
0.8,1,5,0.3710582329566555,English
0.8,1,10,0.268860562846789,English
0.8,1,15,0.18242457244448346,English
0.8,1,20,0.11920291124167723,English
0.9,0.5,1,0.16965334621301092,English
0.9,0.5,2.5,0.19402229195391993,English
0.9,0.5,5,0.18576902112612284,English
0.9,0.5,10,0.10729962533182183,English
0.9,0.5,15,0.04602251056374341,English
0.9,0.5,20,0.017795145290314618,English
0.9,0.6,1,0.20512174433140634,English
0.9,0.6,2.5,0.28949966039986974,English
0.9,0.6,5,0.3801555918154757,English
0.9,0.6,10,0.4971854583720625,English
0.9,0.6,15,0.5721505665428581,English
0.9,0.6,20,0.6237321247700188,English
0.9,0.7,1,0.23738679603866963,English
0.9,0.7,2.5,0.3584544945018566,English
0.9,0.7,5,0.4979877637335387,English
0.9,0.7,10,0.7138266193690055,English
0.9,0.7,15,0.8479867679844337,English
0.9,0.7,20,0.9211250671061991,English
0.9,0.8,1,0.26517358641464545,English
0.9,0.8,2.5,0.3924532314591781,English
0.9,0.8,5,0.5105397008178297,English
0.9,0.8,10,0.6363586030999074,English
0.9,0.8,15,0.7105876891919373,English
0.9,0.8,20,0.7695485159267894,English
0.9,0.9,1,0.28748902199411625,English
0.9,0.9,2.5,0.3965697925074057,English
0.9,0.9,5,0.4559313990036113,English
0.9,0.9,10,0.459416380796851,English
0.9,0.9,15,0.4411813373474455,English
0.9,0.9,20,0.4219417643799373,English
0.9,1,1,0.30360657436361327,English
0.9,1,2.5,0.37843936642046605,English
0.9,1,5,0.36874470569695816,English
0.9,1,10,0.2687885592446046,English
0.9,1,15,0.18242304972863108,English
0.9,1,20,0.11920288346851812,English
1,0.5,1,0.1867387982535279,English
1,0.5,2.5,0.20176735224120412,English
1,0.5,5,0.18448179989973815,English
1,0.5,10,0.09117015728203681,English
1,0.5,15,0.03357011456935654,English
1,0.5,20,0.011369156289572274,English
1,0.6,1,0.22353764206642043,English
1,0.6,2.5,0.2956830545531114,English
1,0.6,5,0.3767985649952379,English
1,0.6,10,0.4568256143978204,English
1,0.6,15,0.4859916624527466,English
1,0.6,20,0.49562273214177094,English
1,0.7,1,0.2559990179523117,English
1,0.7,2.5,0.3622093201751088,English
1,0.7,5,0.5032580211282632,English
1,0.7,10,0.7328029241942529,English
1,0.7,15,0.8737880417922477,English
1,0.7,20,0.9441075388149919,English
1,0.8,1,0.2828751076915653,English
1,0.8,2.5,0.3934751436661732,English
1,0.8,5,0.5213549290416924,English
1,0.8,10,0.678903192056191,English
1,0.8,15,0.7718650485029407,English
1,0.8,20,0.8379418219943864,English
1,0.9,1,0.3032871486368192,English
1,0.9,2.5,0.3942407589064122,English
1,0.9,5,0.4628734659623959,English
1,0.9,10,0.48606012705990115,English
1,0.9,15,0.482271814854247,English
1,0.9,20,0.4765581569188065,English
1,1,1,0.31668054168070664,English
1,1,2.5,0.3720531693600858,English
1,1,5,0.36610004247092887,English
1,1,10,0.2686790394954877,English
1,1,15,0.18241995679107345,English
1,1,20,0.11920280834146077,English
0.5,0.5,1,0.3220434643963898,"Spanish
-split"
0.5,0.5,2.5,0.304504342420284,"Spanish
-split"
0.5,0.5,5,0.274068619061197,"Spanish
-split"
0.5,0.5,10,0.21194155761708539,"Spanish
-split"
0.5,0.5,15,0.15428077298188603,"Spanish
-split"
0.5,0.5,20,0.10650697891920055,"Spanish
-split"
0.5,0.6,1,0.4093477482599124,"Spanish
-split"
0.5,0.6,2.5,0.5141583925100311,"Spanish
-split"
0.5,0.6,5,0.650696054010365,"Spanish
-split"
0.5,0.6,10,0.8164740969021477,"Spanish
-split"
0.5,0.6,15,0.9060846653191362,"Spanish
-split"
0.5,0.6,20,0.9537287939908496,"Spanish
-split"
0.5,0.7,1,0.4970464214504947,"Spanish
-split"
0.5,0.7,2.5,0.6903014170089304,"Spanish
-split"
0.5,0.7,5,0.8667996977923089,"Spanish
-split"
0.5,0.7,10,0.9780134976356393,"Spanish
-split"
0.5,0.7,15,0.9966437869607818,"Spanish
-split"
0.5,0.7,20,0.9994955116527442,"Spanish
-split"
0.5,0.8,1,0.5816482556857299,"Spanish
-split"
0.5,0.8,2.5,0.8075417942410446,"Spanish
-split"
0.5,0.8,5,0.9508856705976902,"Spanish
-split"
0.5,0.8,10,0.997352439547614,"Spanish
-split"
0.5,0.8,15,0.9998632484050936,"Spanish
-split"
0.5,0.8,20,0.9999929532966316,"Spanish
-split"
