colorNoise,sizeNoise,alpha,speakerProb,language
0.5,0.5,1,0.08051086609909748,English
0.5,0.5,2.5,0.07612608560507099,English
0.5,0.5,5,0.06851715476529924,English
0.5,0.5,10,0.05298538940427133,English
0.5,0.5,15,0.03857019324547177,English
0.5,0.5,20,0.026626744729800228,English
0.5,0.6,1,0.09098088904471999,English
0.5,0.6,2.5,0.1016175614733047,English
0.5,0.6,5,0.11580671959942793,English
0.5,0.6,10,0.1260198629758026,English
0.5,0.6,15,0.11355022255560224,English
0.5,0.6,20,0.08920130943457812,English
0.5,0.7,1,0.10128786380209036,English
0.5,0.7,2.5,0.12612099851307193,English
0.5,0.7,5,0.156557042827407,English
0.5,0.7,10,0.17026364613348074,English
0.5,0.7,15,0.14229829417912837,English
0.5,0.7,20,0.10348265042637136,English
0.5,0.8,1,0.11201511805091817,English
0.5,0.8,2.5,0.1477894146736362,English
0.5,0.8,5,0.18492845395460145,English
0.5,0.8,10,0.190478099960073,English
0.5,0.8,15,0.15026460141643572,English
0.5,0.8,20,0.10583572357876361,English
0.5,0.9,1,0.12389495974835203,English
0.5,0.9,2.5,0.1648686186155423,English
0.5,0.9,5,0.20370979069675593,English
0.5,0.9,10,0.20002856487917695,English
0.5,0.9,15,0.15271131831911924,English
0.5,0.9,20,0.10631842512915232,English
0.5,1,1,0.1380186275984528,English
0.5,1,2.5,0.17644501081692707,English
0.5,1,5,0.21693379293768994,English
0.5,1,10,0.20483717753295988,English
0.5,1,15,0.15357932758173162,English
0.5,1,20,0.10644295802297313,English
0.6,0.5,1,0.10366494293330066,English
0.6,0.5,2.5,0.12365185201541387,English
0.6,0.5,5,0.12083044048966003,English
0.6,0.5,10,0.059153505520156774,English
0.6,0.5,15,0.020299133757371305,English
0.6,0.5,20,0.0062119319274265596,English
0.6,0.6,1,0.11526658942775878,English
0.6,0.6,2.5,0.15850949572105566,English
0.6,0.6,5,0.19384749929538989,English
0.6,0.6,10,0.16266802250735177,English
0.6,0.6,15,0.1046473765831991,English
0.6,0.6,20,0.060539729558831135,English
0.6,0.7,1,0.12637746096915634,English
0.6,0.7,2.5,0.1897068150159023,English
0.6,0.7,5,0.2599675920910205,English
0.6,0.7,10,0.3041946072706109,English
0.6,0.7,15,0.30265449288067997,English
0.6,0.7,20,0.2833579913443966,English
0.6,0.8,1,0.13766466415275486,English
0.6,0.8,2.5,0.21553633958450244,English
0.6,0.8,5,0.3109708890671206,English
0.6,0.8,10,0.43239289782935814,English
0.6,0.8,15,0.5236702956750129,English
0.6,0.8,20,0.6003283697141909,English
0.6,0.9,1,0.14986425500517211,English
0.6,0.9,2.5,0.2348050838033038,English
0.6,0.9,5,0.34747557729277695,English
0.6,0.9,10,0.5183362550835099,English
0.6,0.9,15,0.6542471754550875,English
0.6,0.9,20,0.761972598679216,English
0.6,1,1,0.16394940005634384,English
0.6,1,2.5,0.2473775958148228,English
0.6,1,5,0.37306643341741813,English
0.6,1,10,0.5651226906842859,English
0.6,1,15,0.7035905732864659,English
0.6,1,20,0.8014718130964938,English
0.7,0.5,1,0.12505622467799357,English
0.7,0.5,2.5,0.1340984200383948,English
0.7,0.5,5,0.06970836174740834,English
0.7,0.5,10,0.008006708068430228,English
0.7,0.5,15,0.000748263830784691,English
0.7,0.5,20,0.00006827027050423329,English
0.7,0.6,1,0.13739983283916962,English
0.7,0.6,2.5,0.16979217672787722,English
0.7,0.6,5,0.11671577052322787,English
0.7,0.6,10,0.02530116711182791,English
0.7,0.6,15,0.004351843121422254,English
0.7,0.6,20,0.0007190395925463122,English
0.7,0.7,1,0.1488950413525605,English
0.7,0.7,2.5,0.20131613035595838,English
0.7,0.7,5,0.16877656584898304,English
0.7,0.7,10,0.06123263450560834,English
0.7,0.7,15,0.017400667399175212,English
0.7,0.7,20,0.004644899498558372,English
0.7,0.8,1,0.16026188487839363,English
0.7,0.8,2.5,0.22750735495957888,English
0.7,0.8,5,0.22022626899301842,English
0.7,0.8,10,0.1207679029221688,English
0.7,0.8,15,0.052469128729288377,English
0.7,0.8,20,0.021011546570094963,English
0.7,0.9,1,0.17220550610044555,English
0.7,0.9,2.5,0.24777399568639893,English
0.7,0.9,5,0.26736547144085687,English
0.7,0.9,10,0.20188596772266534,English
0.7,0.9,15,0.12495248934996413,English
0.7,0.9,20,0.07111413804760934,English
0.7,1,1,0.18554980984030353,English
0.7,1,2.5,0.26230041953340216,English
0.7,1,5,0.30847488624108804,English
0.7,1,10,0.2949822263811356,English
0.7,1,15,0.2406359644783739,English
0.7,1,20,0.18348107180500098,English
0.8,0.5,1,0.14244447078017874,English
0.8,0.5,2.5,0.11203186874780759,English
0.8,0.5,5,0.02860544685101924,English
0.8,0.5,10,0.000972973299047839,English
0.8,0.5,15,0.000030512461187429522,English
0.8,0.5,20,9.536666837746285e-7,English
0.8,0.6,1,0.15523805005164606,English
0.8,0.6,2.5,0.14223123932461018,English
0.8,0.6,5,0.04967086492146995,English
0.8,0.6,10,0.003145844249272003,English
0.8,0.6,15,0.00017848958954113872,English
0.8,0.6,20,0.000010056245792792071,English
0.8,0.7,1,0.1668465085240032,English
0.8,0.7,2.5,0.16943895454077593,English
0.8,0.7,5,0.07557505631590697,English
0.8,0.7,10,0.007950900860146345,English
0.8,0.7,15,0.0007252294761035819,English
0.8,0.7,20,0.00006527560382381235,English
0.8,0.8,1,0.17800871335111393,English
0.8,0.8,2.5,0.19289039744621617,English
0.8,0.8,5,0.10462888996828094,English
0.8,0.8,10,0.016837122558776847,English
0.8,0.8,15,0.002275312840829053,English
0.8,0.8,20,0.0003005920215832469,English
0.8,0.9,1,0.18937708093507122,English
0.8,0.9,2.5,0.2122628209612896,English
0.8,0.9,5,0.13511674086764464,English
0.8,0.9,10,0.031193696482320822,English
0.8,0.9,15,0.005889642431066943,English
0.8,0.9,20,0.0010739815690243386,English
0.8,1,1,0.20162721249165277,English
0.8,1,2.5,0.22768882468012872,English
0.8,1,5,0.16557580816293865,English
0.8,1,10,0.0520251162963814,English
0.8,1,15,0.013136170390693811,English
0.8,1,20,0.003159256180617629,English
0.9,0.5,1,0.1540508565177925,English
0.9,0.5,2.5,0.08127070497906973,English
0.9,0.5,5,0.01088092428624968,English
0.9,0.5,10,0.0001259171132230472,English
0.9,0.5,15,0.000001413938263041469,English
0.9,0.5,20,1.5870052452790352e-8,English
0.9,0.6,1,0.16708654264877193,English
0.9,0.6,2.5,0.10396571329184214,English
0.9,0.6,5,0.019261663042276653,English
0.9,0.6,10,0.00040858437369278194,English
0.9,0.6,15,0.000008273855042228688,English
0.9,0.6,20,1.673510748417932e-7,English
0.9,0.7,1,0.17867676502563884,English
0.9,0.7,2.5,0.12492799218802865,English
0.9,0.7,5,0.03004415934513918,English
0.9,0.7,10,0.0010394876557399638,English
0.9,0.7,15,0.00003364692489080003,English
0.9,0.7,20,0.000001086386138732542,English
0.9,0.8,1,0.1895466259216526,English
0.9,0.8,2.5,0.1436429855128971,English
0.9,0.8,5,0.04281425533798856,English
0.9,0.8,10,0.0022253826804863996,English
0.9,0.8,15,0.00010577852802894418,English
0.9,0.8,20,0.00000500434298198841,English
0.9,0.9,1,0.2002843633891448,English
0.9,0.9,2.5,0.1599019392925411,English
