gameid	Trial	TargetItem	UtteranceType	redUtterance	Sufficient_Property	Redundant_Property	NumDistractors	NumSameDistractors	Distractors_Noun	Distractors_RedProp	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
hKrHZbavxiMxqk73Z	1	small_green_sock	size and color	redundant	size	color	5	3	diff	same	0.4	small green sock	NA	small green sock	0	1	sock	small	green	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	2	small_yellow_magnifyingglass	size and color	redundant	color	size	3	1	"NA"	"NA"	0.6666666666666666	small yellow magnifying glass	NA	small yellow magnifyingglass	0	1	magnifyingglass	small	yellow	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	3	big_white_coathanger	size and color	redundant	size	color	5	1	diff	diff	0.8	big white hanger	NA	big white hanger	0	1	coathanger	big	white	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	4	small_orange_spoon	size and color	redundant	size	color	5	1	diff	diff	0.8	small orange spoon	NA	small orange spoon	0	1	spoon	small	orange	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	5	big_yellow_rug	size and color	redundant	color	size	3	1	"NA"	"NA"	0.6666666666666666	big yellow rug__thanks!	great job so far :d	big yellow rug	0	1	rug	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	6	small_green_drum	size and color	redundant	size	color	3	1	"NA"	"NA"	0.6666666666666666	small green drum	NA	small green drum	0	1	drum	small	green	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	7	small_red_balloon	size and color	redundant	color	size	3	1	"NA"	"NA"	0.6666666666666666	small red balloon	NA	small red balloon	0	1	balloon	small	red	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	8	small_blue_scarf	size and color	redundant	size	color	5	1	same	diff	0.8	small blue scarf	NA	small blue scarf	0	1	scarf	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	9	big_orange_cake	size and color	redundant	color	size	5	1	diff	diff	0.8	big orange cake	NA	big orange cake	0	1	cake	big	orange	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	10	small_red_mouse	size and color	redundant	color	size	3	1	"NA"	"NA"	0.6666666666666666	small red mouse	NA	small red mouse	0	1	mouse	small	red	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	11	small_purple_bonbon	size and color	redundant	color	size	3	1	"NA"	"NA"	0.6666666666666666	small purple candy	NA	small purple candy	0	1	bonbon	small	purple	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	12	small_blue_comb	size and color	redundant	size	color	3	1	"NA"	"NA"	0.6666666666666666	small blue comb	NA	small blue comb	0	1	comb	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE
hKrHZbavxiMxqk73Z	13	big_yellow_bike	size and color	redundant	color	size	5	1	same	diff	0.8	big yellow bike	NA	big yellow bike	0	1	bike	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE
