gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	ColorTypicality	OtherColorTypicality	OtherColor	TypicalityDiff	normTypicality	ColorTypicalityModified	ColorTypicalityUnModified	OtherColorTypicalityModified	OtherColorTypicalityUnModified	TypicalityDiffModified	normTypicalityModified	TypicalityDiffUnModified	normTypicalityUnModified
5vGcBWWyN43R66SLD	3	big_purple_flower	size	minimal	size	color redundant	4	4	0	الوردة الكبيرة	NA	الوردة الكبيرة	1	0	flower	big	purple	FALSE	TRUE	FALSE	FALSE	TRUE	0.813703703703704	0.839230769230769	red	-0.025527065527064963	0.492278258471509	0.788947368421053	0.750714285714286	0.832857142857143	0.828333333333333	-0.04390977443609001	0.4864626796476589	-0.07761904761904703	0.47542219541616426
5vGcBWWyN43R66SLD	16	big_red_yarn	color	minimal	color	size redundant	3	2	0.3333333333333333	الاحمر	NA	الاحمر	1	0	yarn	big	red	TRUE	FALSE	FALSE	FALSE	TRUE	0.744444444444444	0.599090909090909	purple	0.145353535353535	0.5540936771671301	0.906	0.85	0.86	0.747	0.04600000000000004	0.5130237825594565	0.10299999999999998	0.5322479649342517
5vGcBWWyN43R66SLD	25	big_black_comb	color	minimal	color	size redundant	2	2	0	المشط الاسود	NA	المشط الاسود	1	0	comb	big	black	TRUE	FALSE	FALSE	FALSE	TRUE	0.937058823529412	0.67695652173913	blue	0.26010230179028204	0.5805761551625787	0.968666666666667	0.913333333333333	0.7292	0.762727272727273	0.23946666666666705	0.5705198680697346	0.15060606060605997	0.544928584342795
5vGcBWWyN43R66SLD	33	big_blue_cap	size	minimal	size	color redundant	2	2	0	الكبير	NA	الكبير	1	0	cap	big	blue	FALSE	TRUE	FALSE	FALSE	TRUE	0.397692307692308	0.376296296296296	orange	0.021396011396011994	0.513821916295506	0.664	0.546666666666667	0.658064516129032	0.636153846153846	0.005935483870967984	0.5022447784501269	-0.08948717948717899	0.4621721222631695
5vGcBWWyN43R66SLD	36	big_blue_book	size	minimal	size	color redundant	2	1	0.5	الكتاب الكبير	NA	الكتاب الكبير	1	0	book	big	blue	FALSE	TRUE	FALSE	FALSE	TRUE	0.67952380952381	0.853684210526316	black	-0.17416040100250607	0.44320392317123014	0.775	0.757857142857143	0.85304347826087	0.709230769230769	-0.07804347826086999	0.4760315128855654	0.04862637362637401	0.5165724130182391
5vGcBWWyN43R66SLD	38	small_green_chair	size	minimal	size	color redundant	4	3	0.25	الكنبة الصغيرة	NA	الكنبة الصغيرة	1	0	chair	small	green	FALSE	TRUE	FALSE	FALSE	TRUE	0.164210526315789	0.606190476190476	red	-0.4419799498746869	0.2131494193044662	0.703333333333333	0.409166666666667	0.692777777777778	0.678	0.010555555555554985	0.5037803422204534	-0.26883333333333304	0.3763605702897442
5vGcBWWyN43R66SLD	48	big_orange_coathanger	size	minimal	size	color redundant	4	1	0.75	التعليقة الكبيرة	NA	التعليقة الكبيرة	1	0	coathanger	big	orange	FALSE	TRUE	FALSE	FALSE	TRUE	0.187777777777778	0.19136363636363601	purple	-0.003585858585858026	0.4952710803250307	0.479473684210526	0.3	0.574166666666667	0.407	-0.09469298245614105	0.4550638970986135	-0.10699999999999998	0.4243281471004243
5vGcBWWyN43R66SLD	51	small_blue_scarf	size	minimal	size	color redundant	2	1	0.5	الشال الصغير	NA	الشال الصغير	1	0	scarf	small	blue	FALSE	TRUE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5vGcBWWyN43R66SLD	55	big_purple_stapler	size	minimal	size	color redundant	4	3	0.25	المكبس الكبير	NA	المكبس الكبير	1	0	stapler	big	purple	FALSE	TRUE	FALSE	FALSE	TRUE	0.326666666666667	0.531052631578947	red	-0.20438596491228	0.3808549805686238	0.772727272727273	0.702222222222222	0.8605	0.594444444444444	-0.087772727272727	0.47312905290696067	0.10777777777777797	0.541559554413025
5vGcBWWyN43R66SLD	57	big_red_bellpepper	size	minimal	size	color redundant	3	1	0.6666666666666666	الفليفلة الكبيرة	NA	الفليفلة الكبيرة	1	0	bellpepper	big	red	FALSE	TRUE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
