gameId	roundNumber	condition	response	game
65RDWXStbxX2jsBQ9	1	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	4	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	6	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	7	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	8	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	9	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	10	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	11	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	12	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	13	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	15	scene3	CN	1_BCS
65RDWXStbxX2jsBQ9	16	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	17	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	19	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	22	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	23	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	24	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	25	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	29	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	31	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	33	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	34	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	35	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	36	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	38	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	42	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	44	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	46	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	47	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	48	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	49	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	50	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	51	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	54	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	55	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	56	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	58	scene2	N	1_BCS
65RDWXStbxX2jsBQ9	59	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	61	scene3	N	1_BCS
65RDWXStbxX2jsBQ9	62	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	63	scene4	CN	1_BCS
65RDWXStbxX2jsBQ9	65	scene1	CN	1_BCS
65RDWXStbxX2jsBQ9	66	scene3	N	1_BCS
