gameid,speakerName,language,roundNum,condition,targetName,correct,gloss,colorMention,sizeMention,UtteranceType,onlyColorMention,onlySizeMention,colorsizeMention,RedundantProperty,SufficientProperty,RedExp3Cat,RedExp2Cat,redundant
4870-6,aliamca,Turkish,6,"size 
 sufficient",button_small_blue,1,"four number white spot has circle two number blue stripe has, button, small, smallest",1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,14,"size 
 sufficient",apple_big_red,1,biggest red apple,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,15,"size 
 sufficient",ball_big_purple,1,biggest purple baloon,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,18,"size 
 sufficient",glove_small_green,1,smallest green glove,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,20,"color 
 sufficient",tie_big_red,1,red tie,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,21,"size 
 sufficient",knife_big_red,1,biggest red knife,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,22,"size 
 sufficient",brush_big_blue,1,"biggest brush, blue brush",1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,23,"size 
 sufficient",bag_big_blue,1,biggest blue bag,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,24,"color 
 sufficient",pants_big_green,1,green pants,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,25,"size 
 sufficient",clock_small_purple,1,smallest clock purple,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,27,"color 
 sufficient",pepper_small_red,1,red pepper,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,29,"color 
 sufficient",toothbrush_big_purple,1,purple brush,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,30,"color 
 sufficient",lipstick_big_pink,1,"red lipstick, light red",1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,32,"color 
 sufficient",lighter_big_black,1,black lighter,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,35,"size 
 sufficient",chair_big_yellow,1,biggest chair,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
4870-6,aliamca,Turkish,36,"color 
 sufficient",tshirt_big_orange,1,red tshirt,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,37,"color 
 sufficient",show_small_yellow,1,yellow shoe,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,38,"size 
 sufficient",key_small_gold,1,smallest key,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
4870-6,aliamca,Turkish,39,"size 
 sufficient",flower_big_pink,1,biggest red flower,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,41,"color 
 sufficient",skirt_big_blue,1,"pink skirt, blue skirt",1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,44,"size 
 sufficient",glasses_small_blue,1,smallest glasses,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
4870-6,aliamca,Turkish,45,"size 
 sufficient",balloon_big_pink,1,biggest red baloon,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,47,"color 
 sufficient",lock_small_gold,1,"yellow key, lock",1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,49,"color 
 sufficient",umbrella_small_blue,1,blue umbrella,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,50,"color 
 sufficient",scissors_big_blue,1,blue scissors,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,51,"size 
 sufficient",dress_big_blue,1,"big blue skirt, dress",1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,54,"size 
 sufficient",cat_big_black,1,biggest cat,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
4870-6,aliamca,Turkish,55,"color 
 sufficient",socks_big_blue,1,"blue boots, socks",1,0,only color,1,0,0,size,color,minimal,not_redundant,0
4870-6,aliamca,Turkish,59,"size 
 sufficient",car_small_blue,1,smallest blue taxi,1,1,color and size,0,0,1,color,size,redundant,redundant,1
4870-6,aliamca,Turkish,60,"color 
 sufficient",pot_small_blue,1,with-lid pot smallest blue,1,1,color and size,0,0,1,size,color,redundant,redundant,1
0031-a,aysetas,Turkish,6,"size 
 sufficient",dress_small_green,1,"dress, small dress, smallest, green",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,7,"size 
 sufficient",apple_small_green,1,"smallest apple, green apple",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,11,"color 
 sufficient",pepper_big_red,1,red to-stuff pepper,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,12,"size 
 sufficient",glasses_big_red,1,biggest framed glasses,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
0031-a,aysetas,Turkish,13,"size 
 sufficient",ball_small_yellow,1,"smallest, is this an egg, smallest egg yellow",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,15,"color 
 sufficient",lighter_small_white,1,white lighter,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,17,"color 
 sufficient",pot_big_green,1,green pot with-handle,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,18,"size 
 sufficient",button_big_blue,1,"biggest ?, or button i-don’t-know",0,1,only size,0,1,0,color,size,minimal,not_redundant,0
0031-a,aysetas,Turkish,19,"size 
 sufficient",clock_small_purple,1,"clock, smallest clock, smallest clock, blue one",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,20,"size 
 sufficient",knife_small_red,1,smallest knife,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
0031-a,aysetas,Turkish,21,"color 
 sufficient",tie_small_red,1,red mm-what-was-it tie,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,22,"color 
 sufficient",umbrella_big_blue,1,blue umbrella,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,26,"color 
 sufficient",tshirt_big_yellow,1,yellow tshirt,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,27,"size 
 sufficient",brush_big_red,1,biggest paint-brush,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
0031-a,aysetas,Turkish,29,"color 
 sufficient",skirt_small_green,1,green skirt,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,30,"color 
 sufficient",socks_big_blue,1,"blue socks, socks right",1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,31,"color 
 sufficient",scissors_small_green,1,green scissors,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,32,"size 
 sufficient",glove_small_orange,1,smallest red gloves,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,33,"color 
 sufficient",lock_small_gold,1,yellow lock,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,35,"color 
 sufficient",shoe_big_yellow,1,yellow shoe man shoe,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,39,"size 
 sufficient",flower_small_pink,1,smallest red flower,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,45,"size 
 sufficient",bag_small_blue,1,blue small bag,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,46,"color 
 sufficient",lipstick_big_red,1,"red lipstick, no red i-mean that pink little light red not but other red, weird red",1,1,color and size,0,0,1,size,color,redundant,redundant,1
0031-a,aysetas,Turkish,47,"color 
 sufficient",toothbrush_big_green,1,green toothbrush,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,48,"size 
 sufficient",car_small_green,1,small green car,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,49,"size 
 sufficient",baloon_small_yellow,1,smallest yellow balloon,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,52,"size 
 sufficient",chair_small_blue,1,small smallest blue chair,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,53,"size 
 sufficient",key_small_silver,1,smallest gray key,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0031-a,aysetas,Turkish,55,"color 
 sufficient",pants_small_pink,1,pink pants,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0031-a,aysetas,Turkish,58,"size 
 sufficient",cat_big_black,1,biggest black cat,1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,7,"color 
 sufficient",scissors_small_green,1,"tshirt scissors scissors ?, small scissors red not red, color, point(green)",1,1,color and size,0,0,1,size,color,redundant,redundant,1
9173-1,bayramamca,CTSL,8,"size 
 sufficient",balloon_big_pink,1,"baloon point(pink) big, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,13,"color 
 sufficient",pepper_big_green,1,pepper hot pepper hot point(green),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,14,"size 
 sufficient",dress_small_blue,1,"dress small point(blue) small, small",1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,15,"color 
 sufficient",shoe_big_yellow,1,shoe big point(yellow),1,1,color and size,0,0,1,size,color,redundant,redundant,1
9173-1,bayramamca,CTSL,16,"size 
 sufficient",bag_small_blue,1,point(blue) pencil bag small point(blue),1,1,color and size,0,0,1,color,size,redundant,redundant,1
9173-1,bayramamca,CTSL,18,"color 
 sufficient",toothbrush_big_green,1,toothbrush point(green) toothbrush,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,20,"color 
 sufficient",tie_big_blue,1,point(blue) tie striped tie,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,22,"size 
 sufficient",key_big_silver,1,"key small key small, point(color) big",0,1,only size,0,1,0,color,size,minimal,not_redundant,0
9173-1,bayramamca,CTSL,25,"color 
 sufficient",pants_small_pink,1,point(pink) pants,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,27,"color 
 sufficient",skirt_big_blue,1,point(blue) skirt,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
