gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
djHqEEgoKbR5rJxgT,2,size_basic_target_f,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,3,size_basic_target_m,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,4,size_same_same_m,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,5,size_basic_filler_3_m,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,8,color_basic_filler_1_m,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,9,color_diff_diff_f,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,10,color_diff_diff_m,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,11,size_same_same_f,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,12,color_basic_target_m,size,color,othercolor,item,size
djHqEEgoKbR5rJxgT,13,color_same_same_f,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,15,color_same_diff_m,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,16,size_same_diff_m,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,17,size_basic_filler_1_f,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,18,size_diff_same_f,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,19,color_same_same_m,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,20,size_same_diff_f,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,21,color_diff_same_m,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,23,color_diff_same_f,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,24,size_diff_diff_f,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,25,size_diff_same_m,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,26,color_same_diff_f,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,28,color_basic_target_f,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,29,size_diff_diff_m,size,color,othercolor,item,color
djHqEEgoKbR5rJxgT,31,color_basic_filler_1_f,size,color,othercolor,item,size_color
djHqEEgoKbR5rJxgT,32,size_basic_filler_1_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,1,color_diff_same_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,3,size_basic_filler_1_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,4,size_basic_filler_2_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,5,size_same_diff_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,6,size_diff_diff_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,7,color_same_diff_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,8,size_same_same_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,11,color_basic_filler_1_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,12,size_same_same_m,size,color,othercolor,item,color
oobA5wy6PdpvjG2zc,13,color_basic_target_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,14,size_basic_filler_2_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,15,size_basic_filler_3_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,16,color_same_same_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,17,color_basic_filler_2_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,18,size_same_diff_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,19,color_basic_target_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,20,size_basic_filler_1_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,21,color_diff_diff_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,22,size_diff_diff_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,23,color_diff_diff_m,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,24,color_diff_same_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,25,size_basic_filler_3_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,26,size_basic_target_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,27,color_basic_filler_1_f,size,color,othercolor,item,size_color
oobA5wy6PdpvjG2zc,28,color_same_diff_f,size,color,othercolor,item,size_color
