gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
mPqh89q4SWXjgYhPf,1,color42,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,4,color22,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,5,size33,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,7,size42,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,8,size21,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,11,color43,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,13,size44,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,15,color42,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,16,color21,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,19,size43,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,22,color43,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,23,size41,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,24,color41,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,25,size42,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,29,color21,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,31,size43,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,33,color41,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,35,size31,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,36,size21,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,37,size22,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,40,color44,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,41,size22,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,45,size31,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,46,size44,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,48,size32,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,59,color32,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,61,color22,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,62,color44,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,66,size33,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,67,color32,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,68,color31,size,color,othercolor,item,size_color
mPqh89q4SWXjgYhPf,69,color33,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,70,color33,size,color,othercolor,item,color
mPqh89q4SWXjgYhPf,71,size32,size,color,othercolor,item,size
mPqh89q4SWXjgYhPf,72,size41,size,color,othercolor,item,size_color
LhezHLLzMBjSPJrwD,1,color32,size,color,othercolor,item,color
LhezHLLzMBjSPJrwD,2,color41,size,color,othercolor,item,color
LhezHLLzMBjSPJrwD,6,size32,size,color,othercolor,item,size
LhezHLLzMBjSPJrwD,8,color31,size,color,othercolor,item,color
LhezHLLzMBjSPJrwD,9,size43,size,color,othercolor,item,size
LhezHLLzMBjSPJrwD,10,color42,size,color,othercolor,item,color
LhezHLLzMBjSPJrwD,12,color32,size,color,othercolor,item,color
LhezHLLzMBjSPJrwD,13,size33,size,color,othercolor,item,size
LhezHLLzMBjSPJrwD,14,color43,size,color,othercolor,item,color
LhezHLLzMBjSPJrwD,16,color21,size,color,othercolor,item,color
LhezHLLzMBjSPJrwD,18,size44,size,color,othercolor,item,size
LhezHLLzMBjSPJrwD,19,color22,size,color,othercolor,item,color
