gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
nXejqxLkiFbAPDZXp,2,color_basic_filler_1_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,3,size_same_diff_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,4,size_diff_same_m,size,color,othercolor,item,color
nXejqxLkiFbAPDZXp,5,size_basic_filler_3_m,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,6,color_same_diff_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,8,color_diff_same_m,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,10,size_basic_filler_1_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,14,size_same_same_f,size,color,othercolor,item,color
nXejqxLkiFbAPDZXp,15,size_diff_diff_f,size,color,othercolor,item,color
nXejqxLkiFbAPDZXp,16,size_same_same_m,size,color,othercolor,item,color
nXejqxLkiFbAPDZXp,17,color_basic_target_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,18,color_diff_diff_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,19,size_same_diff_m,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,20,size_basic_target_m,size,color,othercolor,item,color
nXejqxLkiFbAPDZXp,21,color_same_same_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,22,size_diff_same_f,size,color,othercolor,item,color
nXejqxLkiFbAPDZXp,23,size_basic_filler_3_f,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,25,color_same_diff_m,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,26,size_basic_target_f,size,color,othercolor,item,color
nXejqxLkiFbAPDZXp,27,color_same_same_m,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,28,size_basic_filler_1_m,size,color,othercolor,item,size_color
nXejqxLkiFbAPDZXp,32,color_diff_diff_m,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,3,color_basic_target_f,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,4,color_diff_same_m,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,5,color_basic_target_m,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,6,size_diff_diff_f,size,color,othercolor,item,color
HToNiSRqpqwtN7h9n,8,color_basic_filler_1_f,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,9,size_basic_target_f,size,color,othercolor,item,color
HToNiSRqpqwtN7h9n,10,color_basic_filler_1_m,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,11,size_basic_filler_1_f,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,12,color_diff_same_f,size,color,othercolor,item,size_color
HToNiSRqpqwtN7h9n,14,color_same_same_f,size,color,othercolor,item,size_color
