gameid	Trial	condition	TrialType	ControlType	ItemID	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	DistractorsNoun	DistractorsRedProp	NounGender	speakerMessages	listenerMessages	refExp_wrong	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	theMentioned	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive
zEvfWFiJr3aGqiCxS	1	size_basic_filler_3_m	control	size_redundant	whistle_die	small_purple_die	color	minimal	color	size redundant	3	no_extras	no_extras	M	non c'est le dès violet__petit	est ce le sifflet?__le grand ou le petit?	non c'est le dé violet	1	0	die	small	purple	TRUE	FALSE	TRUE	TRUE	big_orange_die	big_purple_die	small_orange_whistle	no_extras	no_extras
zEvfWFiJr3aGqiCxS	2	color_same_diff_m	target	undefined	piano_vase	big_green_vase	size and color	redundant	size	color redundant	5	same	diff	M	grand vase vert	piano?	grand vase vert	0	1	vase	big	green	TRUE	TRUE	TRUE	FALSE	small_green_vase	big_black_piano	small_black_vase	small_black_vase	small_black_vase
zEvfWFiJr3aGqiCxS	3	color_basic_target_f	target	undefined	napkin_clock	small_blue_clock	size and color	redundant	size	color redundant	3	no_extras	no_extras	F	petit réveil bleu		petit réveil bleu	0	1	clock	small	blue	TRUE	TRUE	TRUE	TRUE	big_blue_clock	small_red_napkin	big_red_clock	no_extras	no_extras
zEvfWFiJr3aGqiCxS	4	size_basic_filler_3_f	control	size_redundant	tent_spoon	small_orange_spoon	size and color	redundant	color	size redundant	3	no_extras	no_extras	F	le jeu a aucun sens ahaha__petite cuillère orange		le jeu a aucun sens ahaha	0	1	spoon	small	orange	TRUE	TRUE	TRUE	TRUE	big_green_spoon	big_orange_spoon	small_green_tent	no_extras	no_extras
zEvfWFiJr3aGqiCxS	5	size_same_diff_f	target	undefined	billiardball_stapler	small_white_stapler	size and color	redundant	color	size redundant	5	same	diff	F	petite agrafe blanche		petite agrafe blanche	0	1	stapler	small	white	TRUE	TRUE	TRUE	TRUE	small_yellow_stapler	big_white_billiardball	big_yellow_stapler	big_yellow_stapler	big_yellow_stapler
zEvfWFiJr3aGqiCxS	6	size_diff_same_f	target	undefined	remote_shovel	small_black_shovel	size and color	redundant	color	size redundant	5	diff	same	F	petite pelle noire		petite pelle noire	0	1	shovel	small	black	TRUE	TRUE	TRUE	TRUE	small_purple_shovel	big_black_remote	big_purple_shovel	small_purple_remote	small_purple_remote
zEvfWFiJr3aGqiCxS	8	color_same_same_f	target	undefined	sock_tie	small_purple_tie	size and color	redundant	size	color redundant	5	same	same	F	petite cravatte violette		petite cravate violette	0	1	tie	small	purple	TRUE	TRUE	TRUE	TRUE	big_purple_tie	small_orange_sock	big_orange_tie	big_purple_tie	big_purple_tie
zEvfWFiJr3aGqiCxS	9	color_basic_filler_2_m	control	noun_sufficient	frame_coathanger	small_white_coathanger	size and color	redundant	size	color redundant	3	no_extras	no_extras	M	petit cintre blanc		petit cintre blanc	0	1	coathanger	small	white	TRUE	TRUE	TRUE	TRUE	small_yellow_frame	big_yellow_frame	big_white_frame	no_extras	no_extras
zEvfWFiJr3aGqiCxS	10	color_basic_target_m	target	undefined	comb_butterfly	small_red_butterfly	size and color	redundant	size	color redundant	3	no_extras	no_extras	M	petit papillon rouge		petit papillon rouge	0	1	butterfly	small	red	TRUE	TRUE	TRUE	TRUE	big_red_butterfly	small_white_comb	big_white_butterfly	no_extras	no_extras
zEvfWFiJr3aGqiCxS	11	size_basic_target_f	target	undefined	mouse_chair	small_red_chair	size and color	redundant	color	size redundant	3	no_extras	no_extras	F	petite chaise rouge		petite chaise rouge	0	1	chair	small	red	TRUE	TRUE	TRUE	FALSE	small_yellow_chair	big_red_mouse	big_yellow_chair	no_extras	no_extras
zEvfWFiJr3aGqiCxS	12	size_diff_diff_f	target	undefined	fork_ladle	small_black_ladle	size and color	redundant	color	size redundant	5	diff	diff	F	petite cuillère noire__louche		petite cuillère noire	0	1	ladle	small	black	TRUE	TRUE	TRUE	TRUE	small_purple_ladle	big_black_fork	big_purple_ladle	big_purple_fork	big_purple_fork
