"","RedundantProperty","TrialType","Condition","Probability","ci.low","ci.high","YMin","YMax"
"1","color","control","both_necessary",0.983050847457627,0.0338983050847458,0.0169491525423728,0.949152542372881,1
"2","color","control","color_redundant",1,0,0,1,1
"3","color","control","noun_sufficient",1,0,0,1,1
"4","color","target","base",0.8,0.1,0.1,0.7,0.9
"5","color","target","diff_noun/diff_redundantvalue",0.935483870967742,0.064516129032258,0.0483870967741936,0.870967741935484,0.983870967741935
"6","color","target","diff_noun/same_redundantvalue",0.885245901639344,0.0819672131147541,0.0655737704918032,0.80327868852459,0.950819672131147
"7","color","target","same_noun/diff_redundantvalue",0.833333333333333,0.0833333333333334,0.0833333333333333,0.75,0.916666666666667
"8","color","target","same_noun/same_redundantvalue",0.73015873015873,0.111111111111111,0.0952380952380952,0.619047619047619,0.825396825396825
"9","size","control","both_necessary",0.919354838709677,0.0806451612903225,0.0483870967741936,0.838709677419355,0.967741935483871
"10","size","control","noun_sufficient",0.0714285714285714,0.0714285714285714,0.107142857142857,0,0.178571428571429
"11","size","control","size_redundant",0.929824561403509,0.0701754385964912,0.0526315789473684,0.859649122807018,0.982456140350877
"12","size","target","base",0.311475409836066,0.114754098360656,0.115163934426229,0.19672131147541,0.426639344262295
"13","size","target","diff_noun/diff_redundantvalue",0.174603174603175,0.0952380952380952,0.0952380952380952,0.0793650793650794,0.26984126984127
"14","size","target","diff_noun/same_redundantvalue",0.142857142857143,0.0793650793650794,0.0952380952380952,0.0634920634920635,0.238095238095238
"15","size","target","same_noun/diff_redundantvalue",0.328125,0.109375,0.109375,0.21875,0.4375
"16","size","target","same_noun/same_redundantvalue",0.140625,0.078125,0.078125,0.0625,0.21875
