,anon_id,figure,answer,lang,adj,use
1,99,1,Four identical black hearts,eng,number,1
2,116,1,Quad hearts,eng,number,1
3,355,1,heart,eng,number,0
4,22,1,4 Hearts,eng,number,1
5,183,1,4 black hearts,eng,number,1
6,356,1,Four black hearts,eng,number,1
7,357,1,four hearts arranged in a square,eng,number,1
8,358,1,Four black hearts,eng,number,1
9,54,1,4 black hearts,eng,number,1
10,77,1,Four black hearts,eng,number,1
11,359,1,BLACK,eng,number,0
12,140,1,4 hearts,eng,number,1
13,57,1,four black hearts,eng,number,1
14,128,1,four hearts,eng,number,1
15,155,1,4 hearts,eng,number,1
16,360,1,four hearts,eng,number,1
17,192,1,four hearts that are two by two,eng,number,1
18,361,1,4 hearts,eng,number,1
19,362,1,4 black hearts,eng,number,1
20,363,1,Four hearts,eng,number,1
21,24,1,four black hearts aligned in a square,eng,number,1
22,364,1,Quadruple hearts,eng,number,1
23,114,1,hearts,eng,number,0
24,170,1,4 black hearts,eng,number,1
25,191,1,four black hearts,eng,number,1
26,365,1,Four of hearts,eng,number,1
27,127,1,4 hearts,eng,number,1
28,366,1,heatin,eng,number,0
29,119,1,four hearts,eng,number,1
30,151,1,four black hearts,eng,number,1
31,367,1,Four hearts,eng,number,1
32,368,1,Four hearts,eng,number,1
33,369,1,4 hearts,eng,number,1
34,370,1,4 hearts,eng,number,1
35,371,1,4 black hearts,eng,number,1
36,188,1,Four black shaped hearts,eng,number,1
37,61,1,heart,eng,number,0
38,102,1,Black color Heart,eng,number,0
39,75,1,hearts,eng,number,0
40,126,1,4 hearts,eng,number,1
41,372,1,hearts,eng,number,0
42,173,1,hearts,eng,number,0
43,373,1,four hearts arranged in the shape of a square,eng,number,1
44,374,1,four black hearts in two rows,eng,number,1
45,4,1,Hearts,eng,number,0
46,153,1,four black hearts,eng,number,1
47,375,1,four hearts,eng,number,1
48,376,1,Four Hearts,eng,number,1
49,97,1,hearts,eng,number,0
50,377,1,Hearts,eng,number,0
51,129,1,four hearts,eng,number,1
52,152,1,four black hearts,eng,number,1
53,378,1,hearts,eng,number,0
54,86,1,heart,eng,number,0
55,379,1,four black hearts,eng,number,1
56,98,1,four black hearts in a square,eng,number,1
57,380,1,Four Hearts,eng,number,1
58,0,1,4 black hearts,eng,number,1
59,39,1,four black hearts,eng,number,1
60,180,1,Four Hearts,eng,number,1
61,381,1,4 hearts,eng,number,1
62,382,1,4 hearts,eng,number,1
63,383,1,4 hearts,eng,number,1
64,68,2,equal signs,eng,number,0
65,384,2,4 rectangles,eng,number,1
66,10,2,"there are 4 rectangles, 2 on each side, 2 on top 2 on bottom, spaced equally apart",eng,number,1
67,385,2,four rectangles,eng,number,1
68,386,2,These 4 things have 4 corners,eng,number,1
69,145,2,Four rectangles in a 2X2 formaton.,eng,number,1
70,100,2,rectangles,eng,number,0
71,142,2,Four rectangles,eng,number,1
72,44,2,Four black rectangles,eng,number,1
73,48,2,four black rectangular,eng,number,1
74,6,2,4 rectangles,eng,number,1
75,41,2,4 black rectangles,eng,number,1
76,18,2,Four black rectangles,eng,number,1
77,90,2,Red rectangles,eng,number,0
78,76,2,Four black rectangles arranged in a rectangle.,eng,number,1
79,387,2,4 rectangles,eng,number,1
80,84,2,four rectangles,eng,number,1
81,156,2,Four rectangles,eng,number,1
82,388,2,Four rectangles stacked by twos,eng,number,1
83,11,2,four black rectangles,eng,number,1
84,89,2,Four rectangles,eng,number,1
85,78,2,4 rectangles,eng,number,1
86,111,2,4 rectangles,eng,number,1
87,389,2,rectangles,eng,number,0
88,390,2,four rectangles,eng,number,1
89,391,2,Four Rectangles,eng,number,1
90,125,2,four black rectangles,eng,number,1
91,164,2,4 rectangles. 2 in each row,eng,number,1
92,51,2,four black rectangles,eng,number,1
93,392,2,rectangle,eng,number,0
94,393,2,Rectangle,eng,number,0
95,394,2,Rectangles,eng,number,0
96,108,2,four black rectangles arranged in grid,eng,number,1
97,178,2,4 rectangles,eng,number,1
98,395,2,Cross,eng,number,0
99,13,2,4 rectangles,eng,number,1
100,196,2,four black rectangles,eng,number,1
101,149,2,four black rectangles,eng,number,1
102,77,2,4 black rectangles,eng,number,1
103,363,2,Four rectangles arranged in a square,eng,number,1
104,364,2,Four rectangles,eng,number,1
105,102,2,Black color Rectangle,eng,number,0
106,375,2,four rectangles,eng,number,1
107,86,2,rectangle,eng,number,0
108,2,3,4 circles in a square formation,eng,number,1
109,396,3,circle,eng,number,0
110,397,3,TWO PARALLEL CIRCLE,eng,number,1
111,398,3,Four circles in the shape of a square,eng,number,1
112,58,3,four black circles,eng,number,1
113,399,3,Four circles in a square,eng,number,1
114,400,3,Four Circles,eng,number,1
115,168,3,4 dots,eng,number,1
116,88,3,4 circles,eng,number,1
117,124,3,four black circles,eng,number,1
118,401,3,4 Circles,eng,number,1
119,52,3,four black circles,eng,number,1
120,402,3,"four circles all equal size, all black, forming a square out of the circles",eng,number,1
121,82,3,Four circles above the single diamond,eng,number,1
122,403,3,4 CIRCLES,eng,number,1
123,404,3,Dies 4,eng,number,1
124,19,3,four circles,eng,number,1
125,405,3,There are four black circles,eng,number,1
126,105,3,block of black filled in circles upper right,eng,number,0
127,171,3,four dots,eng,number,1
128,115,3,four solid black dots,eng,number,1
129,67,3,four black circles,eng,number,1
130,406,3,Four black circles arranged in a square shape in the top right corner,eng,number,1
131,167,3,Four black circles,eng,number,1
132,357,3,four circles arranged in a square,eng,number,1
133,54,3,4 black circles,eng,number,1
134,359,3,BLACK,eng,number,0
135,360,3,four circles,eng,number,1
136,6,3,4 circles,eng,number,1
137,170,3,four circles,eng,number,1
138,11,3,four black circles,eng,number,1
139,372,3,circles,eng,number,0
140,376,3,4 Circles,eng,number,1
141,125,3,four black circles,eng,number,1
142,377,3,Circles,eng,number,0
143,129,3,four circles,eng,number,1
144,152,3,four black circles,eng,number,1
145,379,3,four black circles,eng,number,1
146,108,3,four black circles arranged in a square,eng,number,1
147,383,3,4 circles,eng,number,1
148,15,4,two plusses,eng,number,1
149,40,4,2 plus signs,eng,number,1
150,407,4,2 plus signs,eng,number,1
151,157,4,two black addition signs,eng,number,1
152,187,4,two crosses,eng,number,1
153,408,4,Two Plus Symbols,eng,number,1
154,409,4,2 plus signs,eng,number,1
155,410,4,double plus signs,eng,number,1
156,411,4,2 Plus signs,eng,number,1
157,141,4,two black crosses,eng,number,1
158,59,4,double cross,eng,number,1
159,412,4,2 objects,eng,number,1
160,50,4,2 plus signs,eng,number,1
161,413,4,two addition symbols,eng,number,1
162,117,4,2 plus signs,eng,number,1
