,anon_id,figure,answer,lang,adj,use
1,433,1,corazones,spa,number,0
2,270,1,CUATRO CORAZONES,spa,number,1
3,434,1,cuatro corazones,spa,number,1
4,435,1,corazones,spa,number,0
5,278,1,Cuatro Corazones,spa,number,1
6,202,1,corazones,spa,number,0
7,279,1,Corazones,spa,number,0
8,436,1,cuatro corazones negros,spa,number,1
9,437,1,son cuatro corazones,spa,number,1
10,438,1,4 corazones,spa,number,1
11,353,1,Cuanto corazones,spa,number,1
12,217,1,cuatro corazones negros,spa,number,1
13,439,1,Cuatro corazones,spa,number,1
14,220,1,cuatro corazones negros,spa,number,1
15,325,1,4 corazones,spa,number,1
16,264,1,Cuatro corazones,spa,number,1
17,440,1,Corazones,spa,number,0
18,222,1,cuatro corazones negros,spa,number,1
19,327,1,Cuatro corazones,spa,number,1
20,296,1,4 corazones negros,spa,number,1
21,441,1,cuatro corazones negros,spa,number,1
22,263,1,4 corazones negros,spa,number,1
23,442,1,CUATRO CORAZONES,spa,number,1
24,443,1,4 corazones,spa,number,1
25,444,1,cuatro corazones negros,spa,number,1
26,445,1,Corazones,spa,number,0
27,231,1,corazones,spa,number,0
28,446,1,4 corazones,spa,number,1
29,318,1,cuatro corazones,spa,number,1
30,447,1,Cuatro corazones,spa,number,1
31,448,1,CUATRO CORAZONES,spa,number,1
32,237,1,Cuatro corazones,spa,number,1
33,342,1,cuatro corazones,spa,number,1
34,293,1,4 corazones,spa,number,1
35,449,1,Corazon,spa,number,0
36,450,1,CUATRO CORAZONES NEGROS,spa,number,1
37,239,1,corazones,spa,number,0
38,334,1,corazones,spa,number,0
39,451,1,cuatro corazones,spa,number,1
40,452,1,4 corazones,spa,number,1
41,155,2,4 rectángulos,spa,number,1
42,130,2,cuatro rectángulos negros,spa,number,1
43,195,2,4 rectangulos negros,spa,number,1
44,275,2,RECTANGULOS,spa,number,0
45,196,2,cuatro rectangulos negros,spa,number,1
46,306,2,rectangulos,spa,number,0
47,203,2,cuatro rectángulos,spa,number,1
48,453,2,rectángulos en la figura,spa,number,0
49,454,2,Cuatro rectangulos,spa,number,1
50,455,2,cuatro rectangulos,spa,number,1
51,250,2,cuatro rectangulos horizontales,spa,number,1
52,456,2,Cuatro rectángulos,spa,number,1
53,457,2,4,spa,number,1
54,308,2,Cuarteto de rectángulos,spa,number,1
55,458,2,4 menos,spa,number,1
56,329,2,rectangulos,spa,number,0
57,459,2,rectangulos,spa,number,0
58,315,2,Rectangulos negros,spa,number,0
59,218,2,Cuatro rectangulos,spa,number,1
60,273,2,4 rectangulos negros,spa,number,1
61,460,2,cuadrado,spa,number,0
62,461,2,Cuatro rectangulos negros. Dos en la parte superior y dos en la parte inferior.,spa,number,1
63,216,2,Rectangulo,spa,number,0
64,300,2,cuatro rectangulos,spa,number,1
65,462,2,cuatro retangulos,spa,number,1
66,243,2,rectángulo,spa,number,0
67,463,2,Quatro pequeno,spa,number,1
68,464,2,Cuatro bloques rectangulares vendidos,spa,number,1
69,465,2,Cuatro rectángulos alineados,spa,number,1
70,439,2,Cuatro rectangulos,spa,number,1
71,325,2,4 rectangulos,spa,number,1
72,442,2,CUATRO MENOS,spa,number,1
73,90,3,Cuatro curculos,spa,number,1
74,276,3,cuatro circulos,spa,number,1
75,337,3,circulo,spa,number,0
76,466,3,tiene todos los círculos,spa,number,0
77,467,3,Cuatro circulos negros,spa,number,1
78,468,3,4 puntos,spa,number,1
79,213,3,circulo,spa,number,0
80,469,3,cuatro circulos,spa,number,1
81,255,3,CUATRO CIRCULOS NEGROS EN UNA FORMA CUADRADA,spa,number,1
82,470,3,Quattro circulos,spa,number,1
83,471,3,4 círculo negro,spa,number,1
84,472,3,cuatro círculos,spa,number,1
85,257,3,Cuatro círculos negros,spa,number,1
86,258,3,Circulos,spa,number,0
87,473,3,4 circulos negros,spa,number,1
88,474,3,Cuatro circulos,spa,number,1
89,261,3,4 circulos,spa,number,1
90,475,3,Cuatro circulos en forma cuadrado,spa,number,1
91,476,3,cuatro puntos negros,spa,number,1
92,302,3,`cuatro circulos negros localizados a la derecha en la parte superior,spa,number,1
93,477,3,cuatro circulos,spa,number,1
94,478,3,Cuatro circulos negros,spa,number,1
95,244,3,Círculos,spa,number,0
96,479,3,"cuatro circulos negros, dos arriba y dos abajo.",spa,number,1
97,480,3,circulo,spa,number,0
98,481,3,cuatro circulos,spa,number,1
99,333,3,Dado,spa,number,0
100,482,3,cuatro circulos,spa,number,1
101,155,3,4 círculos,spa,number,1
102,275,3,CIRCULOS,spa,number,0
103,203,3,cuatro círculos,spa,number,1
104,279,3,4 Circulos,spa,number,1
105,436,3,cuatro circulos negros,spa,number,1
106,437,3,cuatro circulos,spa,number,1
107,438,3,4 circulos,spa,number,1
108,308,3,Cuarteto de circulos,spa,number,1
109,217,3,cuatro círculos negros,spa,number,1
110,220,3,cuatro circulos negros,spa,number,1
111,444,3,4 circulos negros,spa,number,1
112,446,3,4 circulos,spa,number,1
113,237,3,Cuatro Circulos,spa,number,1
114,239,3,circulos,spa,number,0
115,451,3,cuatro circulos,spa,number,1
116,198,4,Dos signos de adicion,spa,number,1
117,207,4,Dos signos de suma.,spa,number,1
118,483,4,dos signos de suma,spa,number,1
119,484,4,Dos cruces negras en diagonal.,spa,number,1
120,211,4,dos signos más negros,spa,number,1
121,345,4,dos signos de mas,spa,number,1
122,485,4,Dos cruces,spa,number,1
123,291,4,Dos cruzes negras,spa,number,1
124,235,4,CRUZAR,spa,number,0
125,486,4,2 cruces negras,spa,number,1
126,487,4,signo mas,spa,number,0
127,488,4,SIGNO DE SUMAR,spa,number,0
128,320,4,dos signo más negros,spa,number,1
129,489,4,PAR_MAS,spa,number,1
130,490,4,doble cruz,spa,number,1
131,322,4,dos cruzes,spa,number,1
132,491,4,Dos cruzes,spa,number,1
133,276,4,dos cruces,spa,number,1
134,306,4,cruces,spa,number,0
135,202,4,cruces,spa,number,0
