number,stimuli1,stimuli2,stimuli3,stimuli4,target
1,1-orange-sun,1-purple-oval,1-red-heart,1-pink-triangle,1-pink-triangle
2,1-green-square,1-red-heart,1-brown-oval,1-yellow-circle,1-yellow-circle
3,1-orange-square,1-blue-star,1-purple-heart,1-pink-triangle,1-purple-heart
4,1-black-rectangle,1-blue-sun,1-purple-star,1-yellow-triangle,1-yellow-triangle
5,1-orange-oval,1-green-cross,1-pink-square,1-black-sun,1-pink-square
6,1-blue-square,1-brown-oval,1-black-star,1-red-circle,1-blue-square
7,1-pink-heart,1-brown-sun,1-green-star,1-yellow-diamond,1-brown-sun
8,1-orange-cross,1-red-oval,1-grey-circle,1-pink-sun,1-grey-circle
9,1-purple-rectangle,1-grey-square,1-red-heart,1-yellow-star,1-red-heart
10,1-grey-sun,1-green-square,1-black-circle,1-purple-cross,1-purple-cross
11,1-pink-rectangle,1-purple-star,1-green-oval,1-yellow-circle,1-pink-rectangle
12,1-pink-star,1-yellow-rectangle,1-green-cross,1-orange-circle,1-green-cross
13,1-grey-diamond,1-pink-star,1-green-heart,1-black-triangle,1-green-heart
14,1-pink-triangle,1-yellow-rectangle,1-blue-oval,1-green-cross,1-blue-oval
15,1-orange-sun,1-green-rectangle,1-yellow-square,1-purple-oval,1-purple-oval
16,1-green-heart,1-yellow-rectangle,1-red-sun,1-grey-star,1-yellow-rectangle
17,1-yellow-cross,1-orange-rectangle,1-blue-sun,1-green-star,1-blue-sun
18,1-yellow-circle,1-red-heart,1-purple-diamond,1-grey-cross,1-purple-diamond
19,1-black-rectangle,1-brown-star,1-grey-cross,1-orange-oval,1-grey-cross
20,1-yellow-diamond,1-red-circle,1-green-square,1-orange-triangle,1-green-square
