Number,Color scheme,Color,Item,Gender,Image name,check,
22,1,blue,armchair,F,blue_armchair.jpg,blue_armchair.jpg,1
22,1,red,armchair,F,red_armchair.jpg,red_armchair.jpg,1
22,1,white,armchair,F,white_armchair.jpg,white_armchair.jpg,1
22,1,yellow,armchair,F,yellow_armchair.jpg,yellow_armchair.jpg,1
3,1,blue,balloon,M,blue_balloon.jpg,blue_balloon.jpg,1
3,1,red,balloon,M,red_balloon.jpg,red_balloon.jpg,1
3,1,white,balloon,M,white_balloon.jpg,white_balloon.jpg,1
3,1,yellow,balloon,M,yellow_balloon.jpg,yellow_balloon.jpg,1
20,1,blue,bed,M,blue_bed.jpg,blue_bed.jpg,1
20,1,red,bed,M,red_bed.jpg,red_bed.jpg,1
20,1,white,bed,M,white_bed.jpg,white_bed.jpg,1
20,1,yellow,bed,M,yellow_bed.jpg,yellow_bed.jpg,1
4,1,blue,belt,M,blue_belt.jpg,blue_belt.jpg,1
4,1,red,belt,M,red_belt.jpg,red_belt.jpg,1
4,1,white,belt,M,white_belt.jpg,white_belt.jpg,1
4,1,yellow,belt,M,yellow_belt.jpg,yellow_belt.jpg,1
5,1,blue,bike,M,blue_bike.jpg,blue_bike.jpg,1
5,1,red,bike,M,red_bike.jpg,red_bike.jpg,1
5,1,white,bike,M,white_bike.jpg,white_bike.jpg,1
5,1,yellow,bike,M,yellow_bike.jpg,yellow_bike.jpg,1
2,1,blue,billiardball,F,blue_billiardball.jpg,blue_billiardball.jpg,1
2,1,red,billiardball,F,red_billiardball.jpg,red_billiardball.jpg,1
2,1,white,billiardball,F,white_billiardball.jpg,white_billiardball.jpg,1
2,1,yellow,billiardball,F,yellow_billiardball.jpg,yellow_billiardball.jpg,1
3,1,blue,binder,F,blue_binder.jpg,blue_binder.jpg,1
3,1,red,binder,F,red_binder.jpg,red_binder.jpg,1
3,1,white,binder,F,white_binder.jpg,white_binder.jpg,1
3,1,yellow,binder,F,yellow_binder.jpg,yellow_binder.jpg,1
4,1,blue,book,F,blue_book.jpg,blue_book.jpg,1
4,1,red,book,F,red_book.jpg,red_book.jpg,1
4,1,white,book,F,white_book.jpg,white_book.jpg,1
