Item,label,percent
binder,bang,0.09523809523809523
billiardball,banh bida,0.14285714285714285
sponge,do lau bang,0.19047619047619047
dustpan,xeng,0.23809523809523808
notebook,quyen so,0.23809523809523808
stapler,dap ghim,0.23809523809523808
bandaid,bang ca nhan,0.2857142857142857
book,sach,0.3333333333333333
necklace,tatng co,0.3333333333333333
radio,radio,0.3333333333333333
basket,gio,0.38095238095238093
duck,vit do choi,0.38095238095238093
ladle,muoi,0.38095238095238093
screwdriver,tua vit,0.38095238095238093
shirt,ao,0.38095238095238093
box,hop,0.42857142857142855
camera,may anh,0.42857142857142855
helicopter,truc thang,0.42857142857142855
table,ban,0.42857142857142855
wallet,vi,0.42857142857142855
yarn,cuon len,0.42857142857142855
bench,ghe,0.47619047619047616
bracelet,tatng tay,0.47619047619047616
shield,khien,0.47619047619047616
umbrella,du,0.47619047619047616
boot,giay,0.5238095238095238
bowl,bat,0.5238095238095238
iron,ban la,0.5238095238095238
glove,gang tay,0.5714285714285714
magnifyingglass,kinh lup,0.6190476190476191
