"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.13165543345683117","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.07281843417281812","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.014546934816442415","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.0003009702693700681","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.14751442946226043","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.14497855897181863","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.04133514748764297","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.0019507551445653278","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.24541475568166374","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.447218105506819","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.6101095407399162","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.7965213886442792","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.31563226033370884","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.5444823079807113","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.6608628288273138","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.8037970007116708","Vietnamese"
