"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.17588110553745545","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.23466371224779234","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.1816942484038786","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.06689687783677738","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.18606096691767984","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.35673615426240896","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.31429437780471237","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.18054099071360086","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.33522843133346436","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.8091838703496322","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9648009627462214","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9987954510054582","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.3729178926901304","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.7411546675927891","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9202430657040854","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9943957009902733","Vietnamese"
