"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.17588110553745534","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.23466371224779242","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.18169424840387893","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.06689687783677738","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.1957603286684853","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.3748354389003912","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.3175501240386946","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.18058238774498564","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.349072135626484","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.8624613189285207","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.985687163224018","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9998341981487496","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.3958784801292521","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.8120310240256081","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9551063552643921","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9973353129443244","Vietnamese"
