"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.20396304215725244","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.3771056604347853","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.5185919116912553","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.7505466212776768","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.21224690885964936","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.5568815645009976","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.7203621104680167","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.8787776208188038","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.39661778858664376","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.9248263704859824","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9952660366872114","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9999788442901918","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.40227073620398124","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.762985270733178","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.8754499226153102","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9668156980049321","Vietnamese"
