"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.20396304215725233","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.37710566043478494","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.5185919116912553","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.7505466212776768","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.22267573032835966","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.5805497586392582","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.7259876302564715","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.8788941634365905","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.41103555124138297","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.9485236601352972","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.99815315329837","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9999971149980724","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.4246258171393219","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.8177593284324581","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9160200794693519","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9811711369294976","Vietnamese"
