"","Name","Objects","Nouns","Adjectives","Size_adjectives","size_noise","color_noise","noun_noise","adj_cost","noun_cost","alpha","global_inc","Language","output"
"1","Basic_color_redundant","['small blue pin', 'big blue pin', 'big red pin']","['pin']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,"inc",0,"0.581"
"2","Basic_color_redundant","['small blue pin', 'big blue pin', 'big red pin']","['pin']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,"inc",1,"0.093"
"3","Basic_size_redundant","['small blue pin', 'small red pin', 'big red pin']","['pin']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,"inc",0,"0.007"
"4","Basic_size_redundant","['small blue pin', 'small red pin', 'big red pin']","['pin']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,1,0.1,0,7,"inc",1,"0.387"
"5","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,"inc",0,"0.132"
"6","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,"inc",1,"0.148"
"7","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,"inc",2,"0.245"
"8","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0.1,0.1,1,"inc",3,"0.1050.211"
"9","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0,0,1,"inc",0,"0.132"
"10","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0,0,1,"inc",1,"0.156"
"11","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0,0,1,"inc",2,"0.257"
"12","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.99,0,0,1,"inc",3,"0.1130.225"
