"","Name","Objects","Nouns","Adjectives","Size_adjectives","size_noise","color_noise","noun_noise","adj_cost","noun_cost","alpha","global_inc","Language","output"
"1","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.9,0,0,20,"global",0,"0.527"
"2","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,"global",0,"0.127"
"3","exp_color_redundant","['small blue pin', 'big red pin', 'big blue pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,"global",0,"0.000"
"4","exp_size_redundant","['small blue pin', 'big red pin', 'small red pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,"global",0,"0.022"
"5","exp_size_redundant","['small blue pin', 'big red pin', 'small red pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,"global",0,"0.000"
"6","exp_size_redundant","['small blue pin', 'big red pin', 'small red pin','small blue paperclip']","['pin', 'paperclip']","['big', 'blue', 'small', 'red']","['big','small']",0.8,0.95,0.9,0,0,20,"global",0,"0.144"
"7","exp_color_redundant_medium","['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,"global",0,"0.403"
"8","exp_color_redundant_medium","['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,"global",0,"0.074"
"9","exp_color_redundant_medium","['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,"global",0,"0.000"
"10","exp_size_redundant_medium","['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,"global",0,"0.098"
"11","exp_size_redundant_medium","['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,"global",0,"0.014"
"12","exp_size_redundant_medium","['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square']","['pin', 'ball','square']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,"global",0,"0.000"
"13","exp_color_redundant_high","['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,"global",0,"0.312"
"14","exp_color_redundant_high","['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,"global",0,"0.045"
"15","exp_color_redundant_high","['small blue pin', 'big blue pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,"global",0,"0.000"
"16","exp_size_redundant_high","['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0,0,20,"global",0,"0.078"
"17","exp_size_redundant_high","['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.1,0.1,20,"global",0,"0.011"
"18","exp_size_redundant_high","['small blue pin', 'small red pin', 'big red pin', 'small blue ball', 'big black square', 'big red square', 'small black square', 'big black circle']","['pin', 'ball','square', 'circle']","['big','blue','small','red','black']","['big','small']",0.8,0.95,0.9,0.5,0.5,20,"global",0,"0.000"
