"","Name","Objects","Nouns","Adjectives","Size_adjectives","size_noise","color_noise","noun_noise","adj_cost","noun_cost","alpha","global_inc","Language","output","outputNew"
"1","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.370","0.370"
"2","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.414","0.414"
"3","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.199","0.199"
"4","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.779","0.779"
"5","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.424","0.424"
"6","3_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.245","0.245"
"7","3_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.504","0.504"
"8","3_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.202","0.202"
"9","3_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.937","0.937"
"10","3_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.509","0.509"
"11","3_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red pin', 'small red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.027","0.027"
"12","3_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red pin', 'small red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.499","0.499"
"13","3_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red pin', 'small red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.209","0.209"
"14","3_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red pin', 'small red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.873","0.873"
"15","3_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red pin', 'small red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.5","0.5"
"16","4_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.370","0.370"
"17","4_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.414","0.414"
"18","4_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.199","0.199"
"19","4_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.779","0.779"
"20","4_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.424","0.424"
"21","4_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.417","0.417"
"22","4_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.415","0.415"
"23","4_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.166","0.166"
"24","4_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.783","0.783"
"25","4_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.425","0.425"
"26","4_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red ball', 'small red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.023","0.023"
"27","4_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red ball', 'small red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.504","0.504"
"28","4_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red ball', 'small red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.179","0.179"
"29","4_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red ball', 'small red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.537","0.537"
"30","4_size_redundant_high","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin', 'small red ball', 'small red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.509","0.509"
