"","Name","Objects","Nouns","Adjectives","Size_adjectives","size_noise","color_noise","noun_noise","adj_cost","noun_cost","alpha","global_inc","Language","output"
"1","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.370"
"2","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.414"
"3","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.199"
"4","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.779"
"5","3_size_redundant_low","['small blue pin', 'big blue ball', 'small red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.424"
"6","3a_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",0,"0.245"
"7","3a_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",1,"0.504"
"8","3a_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"global",1,"0.202"
"9","3a_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",2,"0.937"
"10","3a_size_redundant_medium","['small blue pin', 'big blue ball', 'small red pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,"inc",3,"0.509"
