"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.12178510468081674","English"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.05667507821477655","English"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.00973659254419815","English"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.00017473287417118954","English"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.22366056394794873","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.4053588854682372","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.3450281710300568","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.21766003336063472","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.25810370191122706","French"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.3999412310958184","French"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.3371278759557865","French"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.20630647629734272","French"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,"0.3378883158323257","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,"0.4152710461226257","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,"0.34522466834194554","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,20,"0.21766009709224435","Vietnamese"
