"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.14708109418379392","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.054491415980194115","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.005169238776205005","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.000030402490195530507","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.26765697221997964","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.4952783728679885","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.5050338044625634","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.5102538154089452","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.34294726643583073","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.8028685860288602","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9515670126926072","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.997445736559699","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.3792516656836917","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.5003292071539922","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.5050833198400996","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.5102538194510968","Vietnamese"
