"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.14708109418379392","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.05449141598019427","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.005169238776205005","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.000030402490195530612","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.2849405749984327","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.6160791548737226","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.7349363504767255","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.885037170182879","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.35300887403686","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.8081046384640488","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9517356167472454","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9974458043369625","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.40414981357610735","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.6227710790685336","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.7350284066126871","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.8850371871377971","Vietnamese"
