"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.15964825448534994","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.04254822066636403","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.002464645321342293","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.0000062689396391154825","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.29304133678754773","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.5712016084425646","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.648300341162662","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.7726804031323227","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.39363794028221566","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.9195601362977766","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9937895037290742","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.999961783086572","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.39853262621238933","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.574160946802981","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.6483171341089334","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.7726804035971371","Vietnamese"
