"state","colorNoise","sizeNoise","nounNoise","alpha","speakerProb","language"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.15964825448534983","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.042548220666364135","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.002464645321342293","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.000006268939639115527","English"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.3107271233527424","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.6856922786194685","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.8336027257777776","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9617094218957942","Spanish"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.40408353482288595","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.9225105299772682","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.9938316897001072","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9999617869859935","French"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,1,"0.42309459835143076","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,5,"0.6896119230766329","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,10,"0.8336339462330747","Vietnamese"
"smallbluepin, smallredpin, bigredpin, smallblueball, bigredpin, bigredpin, bigredpin, bigredpin",0.95,0.8,0.99,20,"0.9617094238454715","Vietnamese"
