"state","colorNoise","sizeNoise","nounNoise","alpha","Redundancy","Semantics","Utility","Context","Utterance","speakerProb","Language"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.17588110553745534","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.23466371224779242","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.18169424840387893","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small blue pin","0.06689687783677738","English"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.1957603286684853","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.3748354389003912","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.3175501240386946","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue small","0.18058238774498564","Spanish"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.349072135626484","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.8624613189285207","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.985687163224018","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,20,"Color Redundant","Continuous","Incremental","Medium Scene Variation","small pin blue","0.9998341981487496","French"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,1,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.3958784801292521","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,5,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.8120310240256081","Vietnamese"
"smallbluepin, bigbluepin, bigredpin, smallblueball, bigredpin, bigredpin",0.95,0.8,0.99,10,"Color Redundant","Continuous","Incremental","Medium Scene Variation","pin blue and small + pin small and blue","0.9551063552643921","Vietnamese"
