"Scenario","state","colorNoise","sizeNoise","nounNoise","alpha","cost","Redundancy","Semantics","Utility","Context","Utterance","speakerProb","Language"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.13165543345683128","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.07281843417281825","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.04049347248467994","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.014546934816442493","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.07348294953447057","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.0024811420990162466","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.0002966254175236215","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.00001067532708321625","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.14401839976979464","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.011851950569130897","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.002509336062709464","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.00022776672678069955","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.13941685239963064","Vietnamese"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.003829884718422859","Vietnamese"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.0005022159755573432","Vietnamese"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.000022668480204259417","Vietnamese"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.12178510468081674","English"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.05667507821477654","English"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.02941231197790567","English"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.009736592544198116","English"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.09965396561505879","Spanish"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.004032139176268308","Spanish"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.0006018079632393339","Spanish"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.000033938166945047555","Spanish"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.17331155444657706","French"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.0898997081477062","French"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.05430460166634974","French"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,10,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.02384249210033557","French"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.1489731490038186","Vietnamese"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,5,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.004123709474070629","Vietnamese"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,7,1,"Size Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.0006047944071572489","Vietnamese"
