"Scenario","state","colorNoise","sizeNoise","nounNoise","alpha","cost","Redundancy","Semantics","Utility","Context","Utterance","speakerProb","Language"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.13165543345683123","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.0728184341728181","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.04049347248468001","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.014546934816442415","English"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.15594736557086214","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.15524167417815865","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.09724047691306238","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue small","0.04197052624850368","Spanish"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.25722186788080825","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.5339080213037535","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.641758778714212","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","small pin blue","0.7712261431235852","French"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,1,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.3381888556283797","Vietnamese"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,5,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.6637549950218444","Vietnamese"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,7,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.7480293316510646","Vietnamese"
"1B","smallbluepin, bigbluepin, bigredpin, smallblueball",0.95,0.8,0.99,10,0,"Color Redundant","Continuous","Incremental","Low Scene Variation","pin blue and small + pin small and blue","0.8391561667356935","Vietnamese"
"1A","smallbluepin, smallredpin, bigredpin, smallblueball",0.95,0.8,0.99,1,0,"Size Redundant","Continuous","Incremental","Low Scene Variation","small blue pin","0.12178510468081674","English"
