,Name,Objects,Nouns,Adjectives,Size_adjectives,size_noise,color_noise,noun_noise,adj_cost,noun_cost,alpha,global_inc,Language,output
1,3_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,0,0.206
2,3_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,1,0.148
3,3_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,global,1,0.227
4,3_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,2,0.454
5,3_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,3,0.553
6,3a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,0,0.232
7,3a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,1,0.362
8,3a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,global,1,0.243
9,3a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,2,0.813
10,3a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,3,0.744
11,3b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big blue pin', 'big blue pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,0,0.528
12,3b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big blue pin', 'big blue pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,1,0.028
13,3b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big blue pin', 'big blue pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,global,1,0.266
14,3b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big blue pin', 'big blue pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,2,0.506
15,3b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big blue pin', 'big blue pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,3,0.528
16,4_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,0,0.206
17,4_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,1,0.148
18,4_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,global,1,0.227
19,4_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,2,0.454
20,4_color_redundant_low,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,3,0.553
21,4a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,0,0.098
22,4a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,1,0.150
23,4a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,global,1,0.185
24,4a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,2,0.336
25,4a_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin', 'big red ball', 'big red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,3,0.556
26,4b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big blue ball', 'big blue ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,0,0.433
27,4b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big blue ball', 'big blue ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,1,0.145
28,4b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big blue ball', 'big blue ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,global,1,0.184
29,4b_color_redundant_medium,"['small blue pin', 'big blue ball', 'small red pin', 'big red pin','small red ball', 'small red ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,2,0.136
30,4b_color_redundant_medium,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big blue ball', 'big blue ball']","['ball','pin']","['small','big','red','blue']","['small', 'big']",0.8,0.95,0.99,0.1,0.1,5,inc,3,0.552
