Name,Objects
alt_three_color_na_na,"['small blue pin','big blue pin','big red pin']"
alt_three_size_na_na,"['small blue pin','small red pin','big red pin']"
exp_base_size_na_na,"['small blue pin', 'big blue ball', 'small red pin', 'big red pin']"
exp_base_color_na_na,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin']"
alt_neither_color_na_na,"['small blue pin','big blue pin','small red ball','small red pin']"
alt_neither_size_na_na,"['small blue pin','small red pin','big blue pin','big red ball']"
alt_both_color_na_na,"['small blue pin','big blue ball','big red ball','small red ball']"
alt_both_size_na_na,"['small blue pin','big blue ball','big red ball','small red ball']"
alt_fsize_color_na_na,"['small blue pin','small blue ball','big red pin','small red pin']"
alt_fcolor_size_na_na,"['small blue pin','small red ball','big blue pin','big red pin']"
exp_six_color_same_same,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big blue pin','big blue pin']"
exp_six_color_same_diff,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big red pin','big red pin']"
exp_six_color_diff_same,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big blue ball','big blue ball']"
exp_six_color_diff_diff,"['small blue pin', 'small red ball', 'big blue pin', 'big red pin','big red ball','big red ball']"
exp_six_size_same_same,"['small blue pin', 'big blue ball', 'small red pin', 'big red pin','small red pin','small red pin']"
exp_six_size_same_diff,"['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red pin','big red pin']"
exp_six_size_diff_same,"['small blue pin', 'big blue ball', 'small red pin', 'big red pin','small red ball','small red ball']"
exp_six_size_diff_diff,"['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']"
