"","Name","Objects","Nouns","Adjectives","Size_adjectives","adj_cost","noun_cost","size_noise","color_noise","noun_noise","alpha","global_inc","Language","output"
"1","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,0.8,0.95,0.9,30,"global",0,"0.041"
"2","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,0.8,0.95,0.99,30,"global",0,"0.023"
"3","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,1,1,1,30,"global",0,"0.474"
"4","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,0.8,0.95,0.9,7,"inc",0,"0.377"
"5","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,0.8,0.95,0.99,7,"inc",0,"0.410"
"6","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,1,1,1,7,"inc",0,"0.465"
"7","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,0.8,0.95,0.9,7,"inc",2,"0.849"
"8","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,0.8,0.95,0.99,7,"inc",2,"0.787"
"9","exp_six_size_diff_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red ball','big red ball']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,1,1,1,7,"inc",2,"0.881"
"10","exp_six_size_same_diff","['small blue pin', 'big blue ball', 'small red pin', 'big red pin','big red pin','big red pin']","['pin','ball']","['red','blue','small','big']","['small','big']",0.1,0,0.8,0.95,0.9,30,"global",0,"0.052"
