Language,Semantics,Utility,Context,Utterance,Probability,UtteranceSpace,NounNoise
English,Continuous,Global,1A,pin,0,full,0.99
English,Continuous,Global,1A,small pin,0.352,full,0.99
English,Continuous,Global,1A,blue pin,0.023,full,0.99
English,Continuous,Global,1A,small blue pin,0.625,full,0.99
Spanish,Continuous,Global,1A,pin,0,full,0.99
Spanish,Continuous,Global,1A,pin small,0.352,full,0.99
Spanish,Continuous,Global,1A,pin blue,0.023,full,0.99
Spanish,Continuous,Global,1A,pin blue small,0.625,full,0.99
French,Continuous,Global,1A,pin,0,full,0.99
French,Continuous,Global,1A,small pin,0.352,full,0.99
French,Continuous,Global,1A,pin blue,0.023,full,0.99
French,Continuous,Global,1A,small pin blue,0.625,full,0.99
Vietnamese,Continuous,Global,1A,pin,0,full,0.99
Vietnamese,Continuous,Global,1A,pin small,0.217,full,0.99
Vietnamese,Continuous,Global,1A,pin blue,0.014,full,0.99
Vietnamese,Continuous,Global,1A,pin small and blue,0.384,full,0.99
Vietnamese,Continuous,Global,1A,pin blue and small,0.384,full,0.99
English,Continuous,Global,1B,pin,0,full,0.99
English,Continuous,Global,1B,small pin,0.001,full,0.99
English,Continuous,Global,1B,blue pin,0.823,full,0.99
English,Continuous,Global,1B,small blue pin,0.176,full,0.99
Spanish,Continuous,Global,1B,pin,0,full,0.99
Spanish,Continuous,Global,1B,pin small,0.001,full,0.99
Spanish,Continuous,Global,1B,pin blue,0.823,full,0.99
Spanish,Continuous,Global,1B,pin blue small,0.176,full,0.99
French,Continuous,Global,1B,pin,0,full,0.99
French,Continuous,Global,1B,small pin,0.001,full,0.99
French,Continuous,Global,1B,pin blue,0.823,full,0.99
French,Continuous,Global,1B,small pin blue,0.176,full,0.99
Vietnamese,Continuous,Global,1B,pin,0,full,0.99
Vietnamese,Continuous,Global,1B,pin small,0.001,full,0.99
Vietnamese,Continuous,Global,1B,pin blue,0.699,full,0.99
Vietnamese,Continuous,Global,1B,pin small and blue,0.15,full,0.99
Vietnamese,Continuous,Global,1B,pin blue and small,0.15,full,0.99
English,Continuous,Global,2A,pin,0.002,full,0.99
English,Continuous,Global,2A,small pin,0.392,full,0.99
English,Continuous,Global,2A,blue pin,0.064,full,0.99
English,Continuous,Global,2A,small blue pin,0.543,full,0.99
Spanish,Continuous,Global,2A,pin,0.002,full,0.99
Spanish,Continuous,Global,2A,pin small,0.392,full,0.99
Spanish,Continuous,Global,2A,pin blue,0.064,full,0.99
Spanish,Continuous,Global,2A,pin blue small,0.543,full,0.99
French,Continuous,Global,2A,pin,0.002,full,0.99
French,Continuous,Global,2A,small pin,0.392,full,0.99
French,Continuous,Global,2A,pin blue,0.064,full,0.99
French,Continuous,Global,2A,small pin blue,0.543,full,0.99
Vietnamese,Continuous,Global,2A,pin,0.001,full,0.99
Vietnamese,Continuous,Global,2A,pin small,0.254,full,0.99
Vietnamese,Continuous,Global,2A,pin blue,0.041,full,0.99
Vietnamese,Continuous,Global,2A,pin small and blue,0.352,full,0.99
Vietnamese,Continuous,Global,2A,pin blue and small,0.352,full,0.99
English,Continuous,Global,2B,pin,0,full,0.99
English,Continuous,Global,2B,small pin,0.002,full,0.99
English,Continuous,Global,2B,blue pin,0.873,full,0.99
English,Continuous,Global,2B,small blue pin,0.125,full,0.99
Spanish,Continuous,Global,2B,pin,0,full,0.99
Spanish,Continuous,Global,2B,pin small,0.002,full,0.99
Spanish,Continuous,Global,2B,pin blue,0.873,full,0.99
Spanish,Continuous,Global,2B,pin blue small,0.125,full,0.99
French,Continuous,Global,2B,pin,0,full,0.99
French,Continuous,Global,2B,small pin,0.002,full,0.99
French,Continuous,Global,2B,pin blue,0.873,full,0.99
French,Continuous,Global,2B,small pin blue,0.125,full,0.99
Vietnamese,Continuous,Global,2B,pin,0,full,0.99
Vietnamese,Continuous,Global,2B,pin small,0.002,full,0.99
Vietnamese,Continuous,Global,2B,pin blue,0.776,full,0.99
Vietnamese,Continuous,Global,2B,pin small and blue,0.111,full,0.99
Vietnamese,Continuous,Global,2B,pin blue and small,0.111,full,0.99
English,Continuous,Global,3A,pin,0.542,full,0.99
English,Continuous,Global,3A,small pin,0.062,full,0.99
English,Continuous,Global,3A,blue pin,0.353,full,0.99
English,Continuous,Global,3A,small blue pin,0.043,full,0.99
Spanish,Continuous,Global,3A,pin,0.542,full,0.99
Spanish,Continuous,Global,3A,pin small,0.062,full,0.99
Spanish,Continuous,Global,3A,pin blue,0.353,full,0.99
Spanish,Continuous,Global,3A,pin blue small,0.043,full,0.99
French,Continuous,Global,3A,pin,0.542,full,0.99
French,Continuous,Global,3A,small pin,0.062,full,0.99
French,Continuous,Global,3A,pin blue,0.353,full,0.99
French,Continuous,Global,3A,small pin blue,0.043,full,0.99
Vietnamese,Continuous,Global,3A,pin,0.52,full,0.99
Vietnamese,Continuous,Global,3A,pin small,0.059,full,0.99
Vietnamese,Continuous,Global,3A,pin blue,0.339,full,0.99
Vietnamese,Continuous,Global,3A,pin small and blue,0.041,full,0.99
Vietnamese,Continuous,Global,3A,pin blue and small,0.041,full,0.99
English,Continuous,Global,4,pin,0,full,0.99
English,Continuous,Global,4,small pin,0.045,full,0.99
English,Continuous,Global,4,blue pin,0.823,full,0.99
English,Continuous,Global,4,small blue pin,0.132,full,0.99
Spanish,Continuous,Global,4,pin,0,full,0.99
Spanish,Continuous,Global,4,pin small,0.045,full,0.99
Spanish,Continuous,Global,4,pin blue,0.823,full,0.99
Spanish,Continuous,Global,4,pin blue small,0.132,full,0.99
French,Continuous,Global,4,pin,0,full,0.99
French,Continuous,Global,4,small pin,0.045,full,0.99
French,Continuous,Global,4,pin blue,0.823,full,0.99
French,Continuous,Global,4,small pin blue,0.132,full,0.99
Vietnamese,Continuous,Global,4,pin,0,full,0.99
Vietnamese,Continuous,Global,4,pin small,0.04,full,0.99
Vietnamese,Continuous,Global,4,pin blue,0.727,full,0.99
Vietnamese,Continuous,Global,4,pin small and blue,0.117,full,0.99
Vietnamese,Continuous,Global,4,pin blue and small,0.117,full,0.99
English,Continuous,Incremental,1A,pin,0.004,full,0.99
English,Continuous,Incremental,1A,small pin,0.216,full,0.99
English,Continuous,Incremental,1A,blue pin,0.06,full,0.99
English,Continuous,Incremental,1A,small blue pin,0.72,full,0.99
Spanish,Continuous,Incremental,1A,pin,0.007,full,0.99
Spanish,Continuous,Incremental,1A,pin small,0.894,full,0.99
Spanish,Continuous,Incremental,1A,pin blue,0.003,full,0.99
Spanish,Continuous,Incremental,1A,pin blue small,0.096,full,0.99
French,Continuous,Incremental,1A,pin,0,full,0.99
French,Continuous,Incremental,1A,small pin,0.23,full,0.99
French,Continuous,Incremental,1A,pin blue,0.004,full,0.99
French,Continuous,Incremental,1A,small pin blue,0.766,full,0.99
Vietnamese,Continuous,Incremental,1A,pin,0.004,full,0.99
Vietnamese,Continuous,Incremental,1A,pin small,0.216,full,0.99
Vietnamese,Continuous,Incremental,1A,pin blue,0.03,full,0.99
Vietnamese,Continuous,Incremental,1A,pin small and blue,0.72,full,0.99
Vietnamese,Continuous,Incremental,1A,pin blue and small,0.03,full,0.99
English,Continuous,Incremental,1B,pin,0.001,full,0.99
English,Continuous,Incremental,1B,small pin,0,full,0.99
English,Continuous,Incremental,1B,blue pin,0.992,full,0.99
English,Continuous,Incremental,1B,small blue pin,0.007,full,0.99
Spanish,Continuous,Incremental,1B,pin,0.001,full,0.99
Spanish,Continuous,Incremental,1B,pin small,0.006,full,0.99
Spanish,Continuous,Incremental,1B,pin blue,0.434,full,0.99
Spanish,Continuous,Incremental,1B,pin blue small,0.559,full,0.99
French,Continuous,Incremental,1B,pin,0,full,0.99
French,Continuous,Incremental,1B,small pin,0.005,full,0.99
French,Continuous,Incremental,1B,pin blue,0.118,full,0.99
French,Continuous,Incremental,1B,small pin blue,0.878,full,0.99
Vietnamese,Continuous,Incremental,1B,pin,0.001,full,0.99
Vietnamese,Continuous,Incremental,1B,pin small,0.003,full,0.99
Vietnamese,Continuous,Incremental,1B,pin blue,0.434,full,0.99
Vietnamese,Continuous,Incremental,1B,pin small and blue,0.003,full,0.99
Vietnamese,Continuous,Incremental,1B,pin blue and small,0.559,full,0.99
English,Continuous,Incremental,2A,pin,0.143,full,0.99
English,Continuous,Incremental,2A,small pin,0.688,full,0.99
English,Continuous,Incremental,2A,blue pin,0.129,full,0.99
English,Continuous,Incremental,2A,small blue pin,0.04,full,0.99
Spanish,Continuous,Incremental,2A,pin,0.007,full,0.99
Spanish,Continuous,Incremental,2A,pin small,0.892,full,0.99
Spanish,Continuous,Incremental,2A,pin blue,0.003,full,0.99
Spanish,Continuous,Incremental,2A,pin blue small,0.097,full,0.99
French,Continuous,Incremental,2A,pin,0.011,full,0.99
French,Continuous,Incremental,2A,small pin,0.194,full,0.99
French,Continuous,Incremental,2A,pin blue,0.153,full,0.99
French,Continuous,Incremental,2A,small pin blue,0.642,full,0.99
Vietnamese,Continuous,Incremental,2A,pin,0.004,full,0.99
Vietnamese,Continuous,Incremental,2A,pin small,0.217,full,0.99
Vietnamese,Continuous,Incremental,2A,pin blue,0.03,full,0.99
Vietnamese,Continuous,Incremental,2A,pin small and blue,0.718,full,0.99
Vietnamese,Continuous,Incremental,2A,pin blue and small,0.03,full,0.99
English,Continuous,Incremental,2B,pin,0.072,full,0.99
English,Continuous,Incremental,2B,small pin,0.016,full,0.99
English,Continuous,Incremental,2B,blue pin,0.883,full,0.99
English,Continuous,Incremental,2B,small blue pin,0.029,full,0.99
Spanish,Continuous,Incremental,2B,pin,0.001,full,0.99
Spanish,Continuous,Incremental,2B,pin small,0.006,full,0.99
Spanish,Continuous,Incremental,2B,pin blue,0.434,full,0.99
Spanish,Continuous,Incremental,2B,pin blue small,0.559,full,0.99
French,Continuous,Incremental,2B,pin,0.001,full,0.99
French,Continuous,Incremental,2B,small pin,0.002,full,0.99
French,Continuous,Incremental,2B,pin blue,0.615,full,0.99
French,Continuous,Incremental,2B,small pin blue,0.382,full,0.99
Vietnamese,Continuous,Incremental,2B,pin,0.001,full,0.99
Vietnamese,Continuous,Incremental,2B,pin small,0.003,full,0.99
Vietnamese,Continuous,Incremental,2B,pin blue,0.434,full,0.99
Vietnamese,Continuous,Incremental,2B,pin small and blue,0.003,full,0.99
Vietnamese,Continuous,Incremental,2B,pin blue and small,0.559,full,0.99
English,Continuous,Incremental,3A,pin,0.451,full,0.99
English,Continuous,Incremental,3A,small pin,0,full,0.99
English,Continuous,Incremental,3A,blue pin,0.549,full,0.99
English,Continuous,Incremental,3A,small blue pin,0,full,0.99
Spanish,Continuous,Incremental,3A,pin,0.311,full,0.99
Spanish,Continuous,Incremental,3A,pin small,0.311,full,0.99
Spanish,Continuous,Incremental,3A,pin blue,0.189,full,0.99
Spanish,Continuous,Incremental,3A,pin blue small,0.189,full,0.99
French,Continuous,Incremental,3A,pin,0.451,full,0.99
French,Continuous,Incremental,3A,small pin,0,full,0.99
French,Continuous,Incremental,3A,pin blue,0.549,full,0.99
French,Continuous,Incremental,3A,small pin blue,0,full,0.99
Vietnamese,Continuous,Incremental,3A,pin,0.301,full,0.99
Vietnamese,Continuous,Incremental,3A,pin small,0.149,full,0.99
Vietnamese,Continuous,Incremental,3A,pin blue,0.184,full,0.99
Vietnamese,Continuous,Incremental,3A,pin small and blue,0.182,full,0.99
Vietnamese,Continuous,Incremental,3A,pin blue and small,0.184,full,0.99
English,Continuous,Incremental,4,pin,0.001,full,0.99
English,Continuous,Incremental,4,small pin,0.018,full,0.99
English,Continuous,Incremental,4,blue pin,0.725,full,0.99
English,Continuous,Incremental,4,small blue pin,0.256,full,0.99
Spanish,Continuous,Incremental,4,pin,0.001,full,0.99
Spanish,Continuous,Incremental,4,pin small,0.085,full,0.99
Spanish,Continuous,Incremental,4,pin blue,0.341,full,0.99
Spanish,Continuous,Incremental,4,pin blue small,0.574,full,0.99
